Geo Code,Geo Name,Line Number
"320001500","0015.00",550517
"320001600","0016.00",552764
"320001700","0017.00",555011
"320001800","0018.00",557258
"320001900","0019.00",559505
"320002000","0020.00",561752
"320002100","0021.00",563999
"320002200","0022.00",566246
"320002300","0023.00",568493
"320002400","0024.00",570740
"320002500","0025.00",572987
"320002600","0026.00",575234
"320002700","0027.00",577481
"320002800","0028.00",579728
"320002900","0029.00",581975
"320003000","0030.00",584222
"408","Saguenay",586469
"408000100","0001.00",588716
"408000201","0002.01",590963
"408000202","0002.02",593210
"408000301","0003.01",595457
"408000302","0003.02",597704
"408000400","0004.00",599951
"408000500","0005.00",602198
"408000600","0006.00",604445
"408000700","0007.00",606692
"408000800","0008.00",608939
"408010000","0100.00",611186
"408010100","0101.00",613433
"408010200","0102.00",615680
"408010300","0103.00",617927
"408010400","0104.00",620174
"408010500","0105.00",622421
"408010600","0106.00",624668
"408010702","0107.02",626915
"408010703","0107.03",629162
"408010704","0107.04",631409
"408010800","0108.00",633656
"408010900","0109.00",635903
"408011000","0110.00",638150
"408011103","0111.03",640397
"408011104","0111.04",642644
"408012001","0120.01",644891
"408012003","0120.03",647138
"408012004","0120.04",649385
"408012005","0120.05",651632
"408013000","0130.00",653879
"408013100","0131.00",656126
"408013200","0132.00",658373
"408013300","0133.00",660620
"408014000","0140.00",662867
"408015000","0150.00",665114
"408016000","0160.00",667361
"408016100","0161.00",669608
"408016200","0162.00",671855
"408016300","0163.00",674102
"408016400","0164.00",676349
"408016500","0165.00",678596
"408016600","0166.00",680843
"408016700","0167.00",683090
"408016800","0168.00",685337
"408016900","0169.00",687584
"421","Québec",689831
"421000101","0001.01",692078
"421000102","0001.02",694325
"421000200","0002.00",696572
"421000300","0003.00",698819
"421000400","0004.00",701066
"421000500","0005.00",703313
"421000600","0006.00",705560
"421000700","0007.00",707807
"421000800","0008.00",710054
"421000900","0009.00",712301
"421001000","0010.00",714548
"421001100","0011.00",716795
"421001200","0012.00",719042
"421001300","0013.00",721289
"421001400","0014.00",723536
"421001500","0015.00",725783
"421001600","0016.00",728030
"421001700","0017.00",730277
"421001800","0018.00",732524
"421001900","0019.00",734771
"421002000","0020.00",737018
"421002100","0021.00",739265
"421002200","0022.00",741512
"421002300","0023.00",743759
"421002400","0024.00",746006
"421002500","0025.00",748253
"421002600","0026.00",750500
"421002700","0027.00",752747
"421002800","0028.00",754994
"421002900","0029.00",757241
"421003000","0030.00",759488
"421003100","0031.00",761735
"421003200","0032.00",763982
"421003301","0033.01",766229
"421003302","0033.02",768476
"421003400","0034.00",770723
"421003500","0035.00",772970
"421003600","0036.00",775217
"421003700","0037.00",777464
"421003801","0038.01",779711
"421003802","0038.02",781958
"421003901","0039.01",784205
"421003902","0039.02",786452
"421004001","0040.01",788699
"421004003","0040.03",790946
"421004004","0040.04",793193
"421004102","0041.02",795440
"421004103","0041.03",797687
"421004104","0041.04",799934
"421004105","0041.05",802181
"421004106","0041.06",804428
"421004107","0041.07",806675
"421004108","0041.08",808922
"421004109","0041.09",811169
"421010000","0100.00",813416
"421010100","0101.00",815663
"421010200","0102.00",817910
"421010300","0103.00",820157
"421011000","0110.00",822404
"421011100","0111.00",824651
"421011201","0112.01",826898
"421011202","0112.02",829145
"421011301","0113.01",831392
"421011302","0113.02",833639
"421011400","0114.00",835886
"421011500","0115.00",838133
"421011600","0116.00",840380
"421011701","0117.01",842627
"421011702","0117.02",844874
"421011800","0118.00",847121
"421011902","0119.02",849368
"421011903","0119.03",851615
"421011904","0119.04",853862
"421012001","0120.01",856109
"421012002","0120.02",858356
"421012003","0120.03",860603
"421014001","0140.01",862850
"421014002","0140.02",865097
"421014003","0140.03",867344
"421016001","0160.01",869591
"421016003","0160.03",871838
"421016004","0160.04",874085
"421016005","0160.05",876332
"421017003","0170.03",878579
"421017004","0170.04",880826
"421017005","0170.05",883073
"421017006","0170.06",885320
"421017007","0170.07",887567
"421019000","0190.00",889814
"421020000","0200.00",892061
"421021001","0210.01",894308
"421021002","0210.02",896555
"421022001","0220.01",898802
"421022002","0220.02",901049
"421023001","0230.01",903296
"421023002","0230.02",905543
"421024001","0240.01",907790
"421024002","0240.02",910037
"421026001","0260.01",912284
"421026002","0260.02",914531
"421026003","0260.03",916778
"421027001","0270.01",919025
"421027003","0270.03",921272
"421027004","0270.04",923519
