OBJECTID,Row_Labels,Average_of,Average__1,comm,industry,acres,park,acres_1,AREA,PERCENTAGE
1,3,41.875749999999996,-87.623199999999997,1,0,295.449999999999989,GRANT (ULYSSES),16.471188941899328,23.404836263192678,56.305901640013232
2,4,41.875619999999998,-87.629260000000002,1,0,1.100000000000000,PRITZKER,0.433817767395901,0.604017642791719,1.453111082198056
3,5,41.886029999999998,-87.735640000000004,0,0,1.140000000000000,TILTON (GEORGE),1.139999887293903,1.531582252963265,3.684001942878370
4,6,41.771580000000000,-87.710220000000007,0,0,315.629999999999995,MARQUETTE (JACQUES),14.609788514728638,19.512618688969329,47.017538975935565
5,16,41.881459999999997,-87.666740000000004,1,0,14.240000000000000,UNION,2.134884263085952,2.765842723230984,6.653307194036905
6,23,41.862530000000000,-87.725070000000002,0,0,0.250000000000000,NINEBARK,0.081740366202449,0.161564246971109,0.388760425404560
7,24,41.778219999999997,-87.753219999999999,0,0,4.820000000000000,LAWLER (MICHAEL),0.806367709803877,1.076983159893277,2.594830429727580
8,26,41.857959999999999,-87.656430000000000,0,0,0.720000000000000,THROOP (AMOS GAGER),0.589028470030085,0.781345104962108,1.880226979221949
9,27,41.878000000000000,-87.642529999999994,1,0,1.110000000000000,HERITAGE GREEN,0.563296234791002,0.723485863609640,1.740457100582814
10,32,41.734980000000000,-87.714140000000000,0,0,0.340000000000000,LEE (JOHN),0.340000044809365,0.437995990271419,1.055986607777461
11,38,41.874450000000003,-87.720410000000001,0,0,175.900000000000006,GARFIELD (JAMES),6.271040299163680,8.241444837249690,19.827153921018702
12,45,41.911009999999997,-87.643450000000001,0,0,3.890000000000000,PARK NO. 598,3.289634292417964,4.435245795813441,10.664237390374678
13,46,41.903779999999998,-87.638350000000003,0,1,8.730000000000000,SEWARD (WILLIAM),6.591002689410633,8.885438886704296,21.366799990003482
14,55,41.805750000000003,-87.616500000000002,0,0,0.750000000000000,HARDING (GEORGE),0.750000152045705,0.997279675239608,2.401780380001246
15,59,41.867420000000003,-87.627430000000004,1,0,1.300000000000000,JONES (MARY RICHARDSON),0.706857362594539,0.937981481016344,2.256827441932158
16,59,41.867420000000003,-87.627430000000004,1,0,1.780000000000000,ROOSEVELT (THEODORE),0.274075421107489,0.341133879390427,0.820784115638286
17,63,41.877150000000000,-87.720609999999994,0,0,175.900000000000006,GARFIELD (JAMES),15.331943544230406,20.149346988641202,48.473002656306953
18,67,41.874479999999998,-87.624229999999997,1,0,295.449999999999989,GRANT (ULYSSES),9.659252927851860,13.725374288315841,33.020300187275879
19,68,41.895840000000000,-87.681939999999997,0,0,0.340000000000000,SUPERIOR,0.003333316542646,0.004492745031265,0.010805019869400
20,72,41.910100000000000,-87.706909999999993,0,0,210.849999999999994,HUMBOLDT (BARON VON),5.705926206010240,7.153339505916370,17.199946155098647
21,73,41.748420000000003,-87.540549999999996,0,1,70.299999999999997,PARK NO. 566,7.371160663848311,10.006660709557048,24.120589516067326
22,76,41.915619999999997,-87.634360000000001,0,0,1209.980000000000018,LINCOLN (ABRAHAM),14.724816681492060,19.424073631860736,46.700505275308117
23,77,41.838039999999999,-87.646270000000001,0,0,0.070000000000000,PARK NO. 594,0.070000031190103,0.093519889869387,0.225115079626679
24,80,41.887889999999999,-87.620679999999993,1,0,1.120000000000000,RIVER ESPLANADE,0.018675142783917,0.025010131475948,0.060156563426342
25,80,41.887889999999999,-87.620679999999993,1,0,1.380000000000000,OGDEN (WILLIAM) PLAZA,0.007368806704186,0.009847156589506,0.023685245338091
26,86,41.882249999999999,-87.676670000000001,0,0,1.757000000000000,PARK NO. 578,0.422184008108784,0.653976373141923,1.573138160562602
27,87,41.855490000000003,-87.623869999999997,1,0,3.060000000000000,CHICAGO WOMEN'S PARK AND GARDENS,0.067569937616001,0.095565609136706,0.229977584394251
28,88,41.879140000000000,-87.651949999999999,1,0,2.710000000000000,BARTELME (MARY),2.425394485155540,3.253054868510405,7.825589154897411
29,93,41.877980000000001,-87.644000000000005,1,0,1.110000000000000,HERITAGE GREEN,0.793532310402680,1.019196247791088,2.451834841193822
30,94,41.856209999999997,-87.710239999999999,0,0,0.180000000000000,LONDON (LOUIS),0.169625728698780,0.360816329337447,0.868290894518121
31,101,41.795209999999997,-87.587530000000001,1,0,0.240000000000000,CORNELL (PAUL),0.002082337246232,0.002822584726270,0.006798821753303
32,102,41.903190000000002,-87.628649999999993,1,0,0.180000000000000,MARIANO (LOUIS),0.179999926519076,0.239182674295746,0.575167425877456
33,105,41.871820000000000,-87.627549999999999,1,0,0.400000000000000,PARK NO. 543,0.000227083187864,0.000286418783391,0.000689090300179
34,105,41.871820000000000,-87.627549999999999,1,0,1.460000000000000,DEARBORN (HENRY),1.416811257884224,1.879552665975480,4.521985239465241
35,107,41.965499999999999,-87.648610000000005,0,0,12.779999999999999,CLARENDON COMM. CTR.,3.314698849790511,4.395998130302610,10.560976503394745
36,107,41.965499999999999,-87.648610000000005,0,0,1209.980000000000018,LINCOLN (ABRAHAM),11.134652988664483,14.688150229325743,35.286914337145802
37,113,41.880839999999999,-87.666780000000003,1,0,14.240000000000000,UNION,0.193368420923621,0.250517861395061,0.602633036395099
38,114,41.775170000000003,-87.586230000000000,0,0,551.519999999999982,JACKSON (ANDREW),15.052338228135618,19.366812212767901,46.663630156797637
39,115,41.892130000000002,-87.610029999999995,0,0,5.780000000000000,ADDAMS (JANE) MEML.,1.538413746586113,1.537736538896694,3.698457006610366
40,131,41.882109999999997,-87.686470000000000,0,1,2.130000000000000,STARR (ELLEN GATES),0.286386547654909,0.374504716745160,0.900871893484091
41,135,41.896819999999998,-87.621809999999996,1,0,1.010000000000000,SENECA,1.010000394742123,1.353329154278588,3.254697654024458
42,135,41.896819999999998,-87.621809999999996,1,0,7.200000000000000,LAKE SHORE,3.789210880861492,4.989516373130695,11.999569493499701
43,142,41.874490000000002,-87.715689999999995,0,1,175.900000000000006,GARFIELD (JAMES),0.459086891088224,0.603335189683383,1.451494578699790
44,143,41.916130000000003,-87.667879999999997,0,1,3.460000000000000,PARK NO. 512,3.193326732189569,4.169508323016530,10.024499345338654
45,143,41.916130000000003,-87.667879999999997,0,1,16.760000000000002,PARK NO. 572,0.000050812175697,0.000058592413541,0.000140870233533
46,152,41.870800000000003,-87.719669999999994,0,0,1.810000000000000,"BOLER (LEO ROSCOE, SR.)",0.427502766485955,0.601755702695869,1.447776950472751
47,160,41.801710000000000,-87.606390000000005,1,0,3.960000000000000,HOUSTON (JESSIE ""MA""),0.504784470872406,0.684440461632136,1.648462214860661
48,160,41.801710000000000,-87.606390000000005,1,0,350.490000000000009,WASHINGTON (GEORGE),8.495591083271993,11.208010433169658,26.994286192236384
49,161,41.830350000000003,-87.677719999999994,1,1,2.380000000000000,HOYNE (THOMAS),2.207364406091513,2.960489302100006,7.127142769197920
50,170,41.877319999999997,-87.706029999999998,0,0,3.220000000000000,HORAN (ALBERT),0.004362538880690,0.005848272892586,0.014069071558882
51,174,41.891800000000003,-87.620249999999999,1,0,1.380000000000000,OGDEN (WILLIAM) PLAZA,0.883139088853271,1.180165153920001,2.838465903768505
52,179,41.946899999999999,-87.676130000000001,0,0,0.380000000000000,KLEIN (LOIS),0.000018630413259,0.000025807969644,0.000062019072870
53,181,41.879280000000001,-87.642570000000006,1,0,1.110000000000000,HERITAGE GREEN,1.109999225879470,1.425659713204725,3.429577217805466
54,184,41.762230000000002,-87.605480000000000,0,0,0.250000000000000,RAILROAD JUNCTION,0.249999942491864,0.340169254762053,0.819788386024080
55,185,41.782780000000002,-87.801130000000001,0,0,8.320000000000000,VALLEY FORGE,0.454896401443695,0.608479099370222,1.465936997199806
56,186,41.909990000000001,-87.716690000000000,0,0,1.180000000000000,SIMONS (ALMIRA),0.701854783795953,0.938581440575938,2.256788841924674
57,195,41.880920000000003,-87.711010000000002,0,0,175.900000000000006,GARFIELD (JAMES),7.114427697681311,9.349830430345229,22.491449138056517
58,196,41.857909999999997,-87.622330000000005,1,0,3.060000000000000,CHICAGO WOMEN'S PARK AND GARDENS,2.306687859362036,3.262398015237725,7.850632763932996
59,199,41.898389999999999,-87.624110000000002,1,0,0.330000000000000,CONNORS (WILLIAM),0.007482602218281,0.010059216114144,0.024191392062443
60,199,41.898389999999999,-87.624110000000002,1,0,1.010000000000000,SENECA,0.354449181589464,0.474936855126361,1.142174851091104
61,200,41.891100000000002,-87.614059999999995,1,0,3.430000000000000,DUSABLE (JEAN BAPTISTE POINTE),2.112551001135374,2.830554005303348,6.807959752536445
62,200,41.891100000000002,-87.614059999999995,1,0,5.780000000000000,ADDAMS (JANE) MEML.,2.950288013332176,2.948989300464416,7.092816611379496
63,202,41.891089999999998,-87.615179999999995,1,0,3.430000000000000,DUSABLE (JEAN BAPTISTE POINTE),0.530807129983792,0.711215136113497,1.710592717679737
64,202,41.891089999999998,-87.615179999999995,1,0,5.780000000000000,ADDAMS (JANE) MEML.,0.469840316184176,0.469633493100578,1.129547998185665
65,203,41.896780000000000,-87.620369999999994,0,0,1.010000000000000,SENECA,1.010000394742123,1.353329154278588,3.254699664043632
66,203,41.896780000000000,-87.620369999999994,0,0,7.200000000000000,LAKE SHORE,6.163483880017704,8.115886051684639,19.518364414394942
67,209,41.794519999999999,-87.633009999999999,0,0,0.610000000000000,MALUS,0.597454659648083,0.929731646899674,2.239488802444577
68,211,41.902679999999997,-87.726290000000006,0,0,0.440000000000000,HARDING (FREDERICK),0.440000027358100,0.569683060933668,1.369939166135927
69,211,41.902679999999997,-87.726290000000006,0,0,0.530000000000000,LINDEN,0.529999977983031,0.704109444056508,1.693199553938498
70,222,41.895949999999999,-87.674610000000001,0,0,1.510000000000000,COMMERCIAL CLUB PGD. of CHICAGO,1.509999787137579,2.035686797174055,4.895803645984543
71,223,41.873890000000003,-87.686229999999995,0,0,1.040000000000000,CLAREMONT,1.040000053623076,1.390973657449601,3.346414082086185
72,234,41.885330000000003,-87.667010000000005,0,0,14.240000000000000,UNION,6.303728913887158,8.166776554197497,19.644222829912412
73,243,41.845340000000000,-87.646450000000002,0,1,27.050000000000001,PALMISANO (HENRY),2.650543593285823,3.472688471105161,8.358293287371744
74,245,41.881540000000001,-87.715850000000003,0,0,175.900000000000006,GARFIELD (JAMES),26.019012467462293,34.194367400078704,82.255346184437457
75,261,41.841400000000000,-87.665819999999997,0,1,2.430000000000000,CANAL ORIGINS,2.039294501666374,3.359747441228911,8.086950187277644
76,264,41.781030000000001,-87.584370000000007,0,0,551.519999999999982,JACKSON (ANDREW),30.938635195586940,39.806621992607099,95.903980697747798
77,267,41.773339999999997,-87.586050000000000,0,0,551.519999999999982,JACKSON (ANDREW),7.749610086257389,9.970892295137357,24.025179579709942
78,271,41.866509999999998,-87.695909999999998,0,0,165.490000000000009,DOUGLAS (STEPHEN),7.131541220519791,9.335711837217636,22.462475579574285
79,278,41.903799999999997,-87.637469999999993,0,1,8.730000000000000,SEWARD (WILLIAM),5.315964173844717,7.166538539954755,17.233357191314354
80,282,41.902880000000003,-87.702280000000002,0,0,210.849999999999994,HUMBOLDT (BARON VON),26.271927993874673,32.936286525615927,79.202932623476258
81,284,41.839649999999999,-87.608130000000003,0,0,657.830000000000041,BURNHAM (DANIEL),21.799944306377782,28.977593689848920,69.751274579446218
82,293,41.875689999999999,-87.626019999999997,1,0,295.449999999999989,GRANT (ULYSSES),1.620270754845463,2.302333599169118,5.538816465384120
