OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,Comm,BUFF_DIST,ORIG_FID,OBJECTID_1,OBJECTID_12,BLDG_ID,BLDG_NAME,ADDRESS,CITY,ZIPCODE,CSP_SCH_ID,SCH_ID,SCH_NAME,SCH_LABEL,SCH_TYPE,SHARED,COMPLEX,POINT_X,POINT_Y,SCHID,NAME,TOWN_MAIL,TOWN,STATE,ZIP,PRINCIPAL,PHONE,FAX,GRADES,TYPE,Shape_Length,Shape_Area
1,0,1,0,42.291739999999997,-71.077179999999998,0,200.000000000000000,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345549029654,0.000013708494243
2,0,2,3,42.343840000000000,-71.061179999999993,0,200.000000000000000,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352219462563,0.000013719681575
3,0,3,10,42.346960000000003,-71.092399999999998,0,200.000000000000000,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352619419742,0.000013720352288
4,0,4,14,42.333340000000000,-71.063360000000003,0,200.000000000000000,7,,4,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350873507121,0.000013717424298
5,0,5,15,42.287860000000002,-71.171520000000001,0,200.000000000000000,8,,5,,,,,,,,,,,,,,,,,,,,,,,,,,0.013345052853539,0.000013707662067
6,0,6,17,42.297300000000000,-71.056539999999998,0,200.000000000000000,10,,6,,,,,,,,,,,,,,,,,,,,,,,,,,0.013346260065305,0.000013709687008
7,0,7,19,42.344310000000000,-71.090779999999995,0,200.000000000000000,12,,7,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352279520510,0.000013719782125
8,0,8,20,42.338949999999997,-71.092439999999996,0,200.000000000000000,13,,8,,,,,,,,,,,,,,,,,,,,,,,,,,0.013351592452565,0.000013718630188
9,0,9,25,42.348709999999997,-71.071730000000002,0,200.000000000000000,15,,9,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352844052164,0.000013720729110
10,0,10,27,42.349919999999997,-71.086219999999997,0,200.000000000000000,16,,10,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352999076196,0.000013720989111
11,0,11,28,42.346269999999997,-71.042169999999999,0,200.000000000000000,17,,11,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352531368127,0.000013720204800
12,0,12,29,42.248550000000002,-71.126959999999997,0,200.000000000000000,18,,12,,,,,,,,,,,,,,,,,,,,,,,,,,0.013340033333794,0.000013699242197
13,0,13,33,42.346359999999997,-71.090950000000007,0,200.000000000000000,21,,13,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352542592240,0.000013720223434
14,1,14,36,42.331229999999998,-71.076960000000000,0,200.000000000000000,23,29,14,42,Orchard Gardens K-8,906 Albany Street,Roxbury,02119,4680,4680,Orchard Gardens K-8,Orchard Gardens K-8,K-8, , ,770299.999992999946699,2945660.000000000000000,,,,,,,,,,,,0.013350603131081,0.000013716970829
15,0,15,38,42.329450000000001,-71.035200000000003,0,200.000000000000000,24,,15,,,,,,,,,,,,,,,,,,,,,,,,,,0.013350375377430,0.000013716588925
16,2,16,39,42.352260000000001,-71.075990000000004,0,200.000000000000000,25,110,16,,,151 Commonwealth Avenue,,,,,,,,,,,,00350724,Commonwealth School,Boston,BOSTON,MA,02116,William Wharton,617-266-7525,--,"9,10,11,12",PRI,0.013353299516796,0.000013721492898
17,0,17,42,42.346310000000003,-71.048349999999999,0,200.000000000000000,27,,17,,,,,,,,,,,,,,,,,,,,,,,,,,0.013352536224930,0.000013720212958
