OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,comm,ind,BUFF_DIST,ORIG_FID,OBJECTID_1,AUN,SCHOOL_NUM,LOCATION_I,SCHOOL_NAM,SCHOOL_N_1,STREET_ADD,ZIP_CODE,PHONE_NUMB,ACTIVE,GRADE_LEVE,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECI,Shape_Length,Shape_Area
11,4,11,16,39.947189999999999,-75.166470000000004,1,0,400.000000000000000,10,11,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130239508877,0.000052955459290
12,3,12,17,39.955900000000000,-75.167879999999997,1,0,400.000000000000000,11,12,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.026132202531488,0.000052962097363
13,1,13,19,39.998220000000003,-75.187610000000006,0,0,400.000000000000000,12,13,126515001,5292,4440,"ALLEN, DR. ETHEL SCHOOL",Dr. Ethel Allen School,3200 W LEHIGH AVE,19132,215-400-7040, ,ELEMENTARYMIDDLE,K-8,443,1,District,0.026141752671737,0.000052994387493
14,2,14,20,39.980220000000003,-75.157529999999994,0,0,400.000000000000000,13,14,0, ,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th St,19121,(215) 232-4892,O,Elementary School,4-8, ,2,Charter,0.026137688109410,0.000052980645711
15,5,15,21,39.959009999999999,-75.173940000000002,0,0,400.000000000000000,14,15,300513960, , ,Greene Towne School Inc,Greene Towne School Inc.,2119-21 ARCH ST,19103,215-563-6368,O,Kindergarten,pre K-K, ,3,Private,0.026132903477221,0.000052964467646
16,0,16,23,39.936000000000000,-75.146860000000004,0,0,400.000000000000000,15,16,,,,,,,,,,,,,,,0.026127719238863,0.000052946937121
17,0,17,24,40.003729999999997,-75.169030000000006,0,1,400.000000000000000,16,17,,,,,,,,,,,,,,,0.026142997846174,0.000052998597450
18,4,18,25,39.936920000000001,-75.150229999999993,0,0,400.000000000000000,17,18,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,725 S 5TH ST,19147,215-400-7990, ,ELEMENTARYMIDDLE,K-8,573,1,District,0.026127926411284,0.000052947638201
19,0,19,26,40.039490000000001,-75.033429999999996,0,0,400.000000000000000,18,19,,,,,,,,,,,,,,,0.026151086867385,0.000053025943353
20,0,20,27,39.894509999999997,-75.229550000000003,0,1,400.000000000000000,19,20,,,,,,,,,,,,,,,0.026118386722737,0.000052915376655
21,2,21,29,39.968989999999998,-75.159980000000004,1,0,400.000000000000000,20,21,226515632, , ,Philadelphia Academic School,Phila Academic Sch,1421 W GIRARD AVE,19130,(215) 477-1040,O,High School,12, ,3,Private,0.026135154115253,0.000052972077744
22,0,22,30,39.960619999999999,-75.228620000000006,1,0,400.000000000000000,21,22,,,,,,,,,,,,,,,0.026133266646059,0.000052965695816
23,1,23,31,39.917510000000000,-75.156139999999994,0,0,400.000000000000000,22,23,126515001,3657,2690,"TAGGART, JOHN H. SCHOOL",John H. Taggart School,400 W PORTER ST,19148,215-400-8290, ,ELEMENTARYMIDDLE,K-8,451,1,District,0.026123557442148,0.000052932863071
24,3,24,32,39.941540000000003,-75.163759999999996,0,0,400.000000000000000,23,24,126515001,7904,2620,ACADEMY AT PALUMBO,Academy at Palumbo,1100 CATHARINE ST,19147,215-400-8130, ,HIGH,9-12,1060,1,District,0.026128966745348,0.000052951155809
25,1,25,33,39.956049999999998,-75.146039999999999,0,0,400.000000000000000,24,25,0, ,8070,OIC CADI,OIC CADI,444 N 3RD ST,19123,215-567-2410, ,High School,9-12, ,1,Contracted,0.026132236517715,0.000052962212969
26,2,26,34,39.939180000000000,-75.149730000000005,0,0,400.000000000000000,25,26,126515001,3649,2380,"MEREDITH, WILLIAM M. SCHOOL",William M. Meredith School,725 S 5TH ST,19147,215-400-7990, ,ELEMENTARYMIDDLE,K-8,573,1,District,0.026128435151563,0.000052949358282
27,0,27,35,39.965660000000000,-75.132270000000005,0,0,400.000000000000000,26,27,,,,,,,,,,,,,,,0.026134402936251,0.000052969537591
28,0,28,36,39.903449999999999,-75.243160000000003,1,0,400.000000000000000,27,28,,,,,,,,,,,,,,,0.026120396405701,0.000052922173797
29,2,29,37,39.967030000000001,-75.160399999999996,1,0,400.000000000000000,28,29,126515001,6822,2290,FRANKLIN LEARNING CENTER,Franklin Learning Center,616 N 15TH ST,19130,215-400-7570, ,HIGH,09-12,915,1,District,0.026134711883925,0.000052970582084
30,0,30,39,39.953159999999997,-75.194789999999998,0,0,400.000000000000000,29,30,,,,,,,,,,,,,,,0.026131584810613,0.000052960008802
31,0,31,40,40.033000000000001,-75.080190000000002,0,0,400.000000000000000,30,31,,,,,,,,,,,,,,,0.026149617834226,0.000053020977069
32,2,32,41,39.950940000000003,-75.152000000000001,1,0,400.000000000000000,31,32,126515001,7905,2670,CONSTITUTION HIGH SCHOOL,Constitution High School,18 S 7TH ST,19106,215-400-7850, ,HIGH,9-12,385,1,District,0.026131084440037,0.000052958316663
33,2,33,43,39.985790000000001,-75.111559999999997,0,0,400.000000000000000,32,33,126515001,3701,5400,RICHMOND SCHOOL,Richmond School,2944 BELGRADE ST,19134,215-400-7150, ,ELEMENTARY,K-5,533,1,District,0.026138945583078,0.000052984897196
34,4,34,44,39.942010000000003,-75.152339999999995,0,0,400.000000000000000,33,34,226519162, , ,St Peters School,St Peters School,311-21 LOMBARD ST,19147,(215) 925-3963,O,Elem/Middle,pre K-8, ,3,Private,0.026129072530556,0.000052951513368
35,1,35,45,39.955640000000002,-75.202269999999999,1,0,400.000000000000000,34,35,126515001,7780,1050,"ROBESON, PAUL HIGH SCHOOL",Paul Robeson High School for Human Services,4125 LUDLOW ST,19104,215-400-7780, ,HIGH,09-12,307,1,District,0.026132143693908,0.000052961898492
36,1,36,46,39.937849999999997,-75.174970000000002,0,1,400.000000000000000,35,36,300519930, , ,Twenty-first Century Christian Academy,21 Century Christian Acad,1253 S 18TH ST,19146,610-812-5166,O,Pre-school,Preschl, ,3,Private,0.026128135551008,0.000052948345130
37,3,37,47,39.958089999999999,-75.209410000000005,1,0,400.000000000000000,36,37,226519902, , ,West Catholic Preparatory High School,West Phila Cath HS,4501-17 CHESTNUT ST,19139,(215)386-2244,O,High School,9-12, ,3,Archdiocese,0.026132696252524,0.000052963766966
38,2,38,48,39.932209999999998,-75.191509999999994,1,0,400.000000000000000,37,38,226517702, , ,St Gabriel School,St Gabriel School,1432 S  29TH ST,19146,215-468-7230,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026126865491074,0.000052944050015
39,0,39,49,39.913969999999999,-75.221509999999995,0,1,400.000000000000000,38,39,,,,,,,,,,,,,,,0.026122761208702,0.000052930170651
40,3,40,50,39.989800000000002,-75.250820000000004,0,0,400.000000000000000,39,40,226510052, , ,Ijoba Shule,Ijoba Shule,6026 Drexel Rd,19131,(215) 747-5737,O,Elem/Middle,Pre K-7, ,3,Private,0.026139851014787,0.000052987958272
41,1,41,52,39.982120000000002,-75.148430000000005,0,1,400.000000000000000,40,41,126515001, ,5620,THE U SCHOOL,The U School,2000 N 7TH ST,19122,215-400-7460, ,HIGH,9-12,255,1,District,0.026138117009898,0.000052982095436
42,4,42,54,39.970390000000002,-75.146540000000002,0,0,400.000000000000000,41,42,226519142, , ,St Peter the Apostle School,St Peter the Apostle Sch,1009 N 5th St,19123,(215) 922-5958,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026135469862203,0.000052973144717
43,1,43,56,39.945270000000001,-75.178579999999997,0,0,400.000000000000000,42,43,226515462, , ,Philadelphia School,Phila School,2501-29 LOMBARD ST,19146,(215) 545-5323,O,Elem/Middle,pre K-8, ,3,Private,0.026129806964576,0.000052953997483
44,1,44,57,39.946489999999997,-75.237269999999995,1,0,400.000000000000000,43,44,126516457,8153,3407,MASTERY CHARTER @ HARRITY,Mastery Charter School at Harrity,5601 CHRISTIAN ST,19143,215-471-2908, ,Elem/Middle,K-8, ,2,Charter,0.026130081926097,0.000052954926928
45,1,45,58,39.941090000000003,-75.182879999999997,0,1,400.000000000000000,44,45,226511235, , ,Crooked Places Made Straight,Crooked Places Made Straight,2617 Washington Ave,19146,(215) 339-5007,O,Elem/Mid/High,K-12, ,3,Private,0.026128865600415,0.000052950814197
46,1,46,60,39.942599999999999,-75.157049999999998,0,0,400.000000000000000,45,46,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.026129205781494,0.000052951964042
47,2,47,62,39.923279999999998,-75.181719999999999,0,0,400.000000000000000,46,47,226519632, , ,Trinity Christian School,Trinity Christian Sch,2300-34 S 18TH ST,19145,(215) 334-6656,O,Pre-K,pre K, ,3,Private,0.026124855914856,0.000052937254348
48,2,48,64,39.957749999999997,-75.219260000000006,0,0,400.000000000000000,47,48,126515001,8328,8560,THE WORKSHOP SCHOOL,The Workshop School,221 S HANSON ST,19139,215-400-7730, ,HIGH,9-12,256,1,District,0.026132619463666,0.000052963507639
49,4,49,65,39.967089999999999,-75.162130000000005,1,0,400.000000000000000,48,49,126515001,6822,2290,FRANKLIN LEARNING CENTER,Franklin Learning Center,616 N 15TH ST,19130,215-400-7570, ,HIGH,09-12,915,1,District,0.026134725646096,0.000052970628769
50,1,50,66,39.931410000000000,-75.156289999999998,0,0,400.000000000000000,49,50,126515001,3647,2580,"KIRKBRIDE, ELIZA B. SCHOOL",Eliza B. Kirkbride School,1501 S 7TH ST,19147,215-400-7980, ,ELEMENTARYMIDDLE,K-8,553,1,District,0.026126685672256,0.000052943442712
51,0,51,67,39.990989999999996,-75.101600000000005,1,0,400.000000000000000,50,51,,,,,,,,,,,,,,,0.026140119778495,0.000052988866943
52,4,52,69,39.958080000000002,-75.165679999999995,1,0,400.000000000000000,51,52,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.026132693993098,0.000052963759625
53,2,53,73,39.943610000000000,-75.156829999999999,0,0,400.000000000000000,52,53,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.026129432919275,0.000052952732497
54,0,54,74,40.028829999999999,-75.106139999999996,0,0,400.000000000000000,53,54,,,,,,,,,,,,,,,0.026148674189859,0.000053017787677
55,0,55,75,39.890380000000000,-75.245000000000005,0,1,400.000000000000000,54,55,,,,,,,,,,,,,,,0.026117459060878,0.000052912239503
56,1,56,77,39.961069999999999,-75.234909999999999,1,0,400.000000000000000,55,56,226510039, , ,63rd St Multicultural Academy of Academic Excellence,63rd St Multicultural Academy of Academic Excellence,5828 Market St,19131,(215) 240-6721, ,Elem/Mid/High,Pre K-12, ,3,Private,0.026133368251488,0.000052966039487
57,0,57,78,39.902230000000003,-75.247219999999999,0,0,400.000000000000000,56,57,,,,,,,,,,,,,,,0.026120122052077,0.000052921245653
58,2,58,79,39.935679999999998,-75.167230000000004,0,0,400.000000000000000,57,58,126515001,3622,2260,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,1599 WHARTON ST,19146,215-400-7950, ,ELEMENTARYMIDDLE,K-8,530,1,District,0.026127647197687,0.000052946694042
59,3,59,80,39.959009999999999,-75.172010000000000,0,0,400.000000000000000,58,59,226512852, , ,John W Hallahan Girls School,John W Hallahan Girls Sch,319 N 19TH ST,19103,(215) 563-8930,O,High School,9-12, ,3,Archdiocese,0.026132903524857,0.000052964467796
60,0,60,82,39.940890000000003,-75.181240000000003,0,1,400.000000000000000,59,60,,,,,,,,,,,,,,,0.026128820406229,0.000052950660866
61,5,61,84,39.924370000000003,-75.169680000000000,1,0,400.000000000000000,60,61,226514095, , ,City Kids,City Kids,2311 S 13th St,19148,215-334-7440,O,Kindergarten,pre K-K, ,3,Private,0.026125101161750,0.000052938084070
62,1,62,85,39.943640000000002,-75.180650000000000,0,0,400.000000000000000,61,62,226515462, , ,Philadelphia School,Phila School,2501-29 LOMBARD ST,19146,(215) 545-5323,O,Elem/Middle,pre K-8, ,3,Private,0.026129439990060,0.000052952756020
63,2,63,86,39.943420000000003,-75.155270000000002,0,0,400.000000000000000,62,63,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.026129390507483,0.000052952589070
64,3,64,87,39.939920000000001,-75.149569999999997,0,0,400.000000000000000,63,64,226519162, , ,St Peters School,St Peters School,311-21 LOMBARD ST,19147,(215) 925-3963,O,Elem/Middle,pre K-8, ,3,Private,0.026128601676134,0.000052949921216
65,2,65,89,39.937860000000001,-75.166749999999993,1,1,400.000000000000000,64,65,126515001,6996,2020,CREATIVE AND PERFORMING ARTS,High School for Creative and Performing Arts School,901 S BROAD ST,19147,215-400-8140, ,HIGH,09-12,747,1,District,0.026128138321483,0.000052948355004
66,5,66,90,39.949230000000000,-75.150750000000002,1,0,400.000000000000000,65,66,226518902, , ,St Marys Interparochial School,St. Mary's Interparochial Sch,440 Locust Street,19106,215-923-7522,O,Elem/Middle,K-8, ,3,Archdiocese,0.026130699407144,0.000052957015198
67,0,67,92,39.909260000000003,-75.173140000000004,1,0,400.000000000000000,66,67,,,,,,,,,,,,,,,0.026121702194322,0.000052926589780
68,1,68,93,39.975279999999998,-75.206659999999999,0,0,400.000000000000000,67,68,126515001,7903,1030,HIGH SCHOOL OF THE FUTURE,High School of the Future,4021 PARKSIDE AVE,19104,215-400-7790, ,HIGH,9-12,551,1,District,0.026136573527818,0.000052976877318
69,4,69,95,39.956969999999998,-75.169210000000007,1,0,400.000000000000000,68,69,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.026132443739323,0.000052962912917
70,1,70,96,39.952579999999998,-75.148480000000006,1,0,400.000000000000000,69,70,126510002,7678,3361,MASTERY CHARTER-LENFEST CAMPUS,Mastery Charter School at Lenfest,35 S 4TH ST,19106,215-922-1902, ,Middle/High,7-12, ,2,Charter,0.026131454234653,0.000052959567146
71,0,71,102,39.947949999999999,-75.223320000000001,0,0,400.000000000000000,70,71,,,,,,,,,,,,,,,0.026130410851841,0.000052956039076
72,4,72,103,39.963790000000003,-75.219930000000005,0,0,400.000000000000000,71,72,226514112, , ,Mill Creek School,Mill Creek Sch,111 N 49TH ST,19139,215-471-4900 ,O,High School,7-12, ,3,Private,0.026133981368969,0.000052968112245
73,0,73,105,39.989970000000000,-75.219350000000006,0,0,400.000000000000000,72,73,,,,,,,,,,,,,,,0.026139889313913,0.000052988087575
74,3,74,106,39.993929999999999,-75.141829999999999,0,0,400.000000000000000,73,74,126515001,7175,5170,"DEBURGOS, J. ELEMENTARY",Julia de Burgos School,401 W LEHIGH AVE,19133,215-400-7080, ,ELEMENTARYMIDDLE,K-8,915,1,District,0.026140783673120,0.000052991111323
75,3,75,108,39.951509999999999,-75.175590000000000,1,0,400.000000000000000,74,75,126515001,5186,2470,"GREENFIELD, ALBERT M. SCHOOL",Albert M. Greenfield School,2200 CHESTNUT ST,19103,215-400-7810, ,ELEMENTARYMIDDLE,K-08,665,1,District,0.026131212760098,0.000052958750400
76,0,76,111,39.929259999999999,-75.168620000000004,0,0,400.000000000000000,75,76,,,,,,,,,,,,,,,0.026126201897396,0.000052941806496
77,0,77,112,39.913010000000000,-75.172300000000007,0,0,400.000000000000000,76,77,,,,,,,,,,,,,,,0.026122545437286,0.000052929441233
78,3,78,113,39.950530000000001,-75.173829999999995,1,0,400.000000000000000,77,78,126515001,5186,2470,"GREENFIELD, ALBERT M. SCHOOL",Albert M. Greenfield School,2200 CHESTNUT ST,19103,215-400-7810, ,ELEMENTARYMIDDLE,K-08,665,1,District,0.026130992211398,0.000052958004971
79,0,79,114,39.899130000000000,-75.174830000000000,0,1,400.000000000000000,78,79,,,,,,,,,,,,,,,0.026119425034464,0.000052918888251
80,4,80,115,39.937410000000000,-75.163060000000002,1,1,400.000000000000000,79,80,126515001,7904,2620,ACADEMY AT PALUMBO,Academy at Palumbo,1100 CATHARINE ST,19147,215-400-8130, ,HIGH,9-12,1060,1,District,0.026128036654390,0.000052948010551
81,2,81,116,39.944510000000001,-75.156639999999996,0,0,400.000000000000000,80,81,300511820, , ,Beginnings Learning Center,Beginnings Learning Ctr,620 S 10TH ST,19147,(215) 627-3668,O,Pre-K,pre K-K, ,3,Private,0.026129635782616,0.000052953418298
82,2,82,117,39.928500000000000,-75.182209999999998,0,0,400.000000000000000,81,82,126515001,3629,2370,"MCDANIEL, DELAPLAINE SCHOOL",Delaplaine McDaniel School,1801 S 22ND ST,19145,215-400-8220, ,ELEMENTARYMIDDLE,K-8,377,1,District,0.026126030540436,0.000052941227122
83,3,83,118,39.962130000000002,-75.240729999999999,0,0,400.000000000000000,82,83,226512872, , ,Kids World Christian Education Center- West Philadelphia,Kids World Christian Ed Ctr- West Phila,100-04 S 61ST ST,19139,215-474-1484,O,Elementary School,pre K-4, ,3,Private,0.026133607146423,0.000052966846985
84,3,84,120,39.977690000000003,-75.161439999999999,0,0,400.000000000000000,83,84,0, ,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th St,19121,(215) 232-4892,O,Elementary School,4-8, ,2,Charter,0.026137116938716,0.000052978714263
85,0,85,121,39.889679999999998,-75.233710000000002,0,0,400.000000000000000,84,85,,,,,,,,,,,,,,,0.026117302252878,0.000052911708736
86,0,86,122,39.964959999999998,-75.224599999999995,0,0,400.000000000000000,85,86,,,,,,,,,,,,,,,0.026134244936952,0.000052969003618
87,3,87,124,39.953170000000000,-75.170010000000005,1,0,400.000000000000000,86,87,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.026131587168351,0.000052960016730
88,1,88,125,39.952759999999998,-75.158079999999998,1,0,400.000000000000000,87,88,0, , ,Freire Charter School,Freire Charter School,1026 Market St,19107,(267) 670-7499, ,Middle School,5-8, ,2,Charter,0.026131494546661,0.000052959703710
89,6,89,126,39.971890000000002,-75.162700000000001,0,0,400.000000000000000,88,89,226518302, , ,St Joseph's Preparatory School,St. Joseph's Prep Sch,1733 W GIRARD AVE,19130,215-978-1950,O,High School,9-12, ,3,Private,0.026135808091124,0.000052974288356
90,1,90,128,39.940860000000001,-75.212599999999995,0,0,400.000000000000000,89,90,126515001,3782,1260,"COMEGYS, BENJAMIN B. SCHOOL",Benjamin B. Comegys School,5100 GREENWAY AVE,19143,215-400-7860, ,ELEMENTARYMIDDLE,K-8,485,1,District,0.026128813348596,0.000052950636996
91,4,91,129,39.952640000000002,-75.178150000000002,1,0,400.000000000000000,90,91,126515001,5186,2470,"GREENFIELD, ALBERT M. SCHOOL",Albert M. Greenfield School,2200 CHESTNUT ST,19103,215-400-7810, ,ELEMENTARYMIDDLE,K-08,665,1,District,0.026131467929773,0.000052959613565
92,0,92,130,39.948779999999999,-75.174199999999999,0,0,400.000000000000000,91,92,,,,,,,,,,,,,,,0.026130597949050,0.000052956671862
93,2,93,133,39.933439999999997,-75.152630000000002,1,0,400.000000000000000,92,93,126515001,3650,2590,"NEBINGER, GEORGE W. SCHOOL",George W. Nebinger School,601 CARPENTER ST,19147,215-400-8110, ,ELEMENTARYMIDDLE,K-8,468,1,District,0.026127142841041,0.000052944988170
94,2,94,134,39.913080000000001,-75.182090000000002,1,1,400.000000000000000,93,94,226519242, , ,St Pio Regional Catholic School,St Pio Catholic Regional School,1826 Pollock Street,19145,(215)467-5430,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026122561022139,0.000052929493830
95,0,95,136,39.947310000000002,-75.194909999999993,1,0,400.000000000000000,94,95,,,,,,,,,,,,,,,0.026130266595414,0.000052955551422
96,2,96,138,39.960220000000000,-75.173680000000004,0,0,400.000000000000000,95,96,226512852, , ,John W Hallahan Girls School,John W Hallahan Girls Sch,319 N 19TH ST,19103,(215) 563-8930,O,High School,9-12, ,3,Archdiocese,0.026133176439543,0.000052965390786
97,0,97,139,39.944130000000001,-75.142080000000007,1,0,400.000000000000000,96,97,,,,,,,,,,,,,,,0.026129550173668,0.000052953128640
98,3,98,142,39.947110000000002,-75.146349999999998,1,0,400.000000000000000,97,98,226518902, , ,St Marys Interparochial School,St. Mary's Interparochial Sch,440 Locust Street,19106,215-923-7522,O,Elem/Middle,K-8, ,3,Archdiocese,0.026130221432697,0.000052955398507
99,3,99,143,39.956449999999997,-75.164469999999994,1,0,400.000000000000000,98,99,226511652, , ,Friends Select School,Friends Select Sch,3 BENJ FRANKLIN PKY,19103,215-561-5900,O,Elem/Mid/High,pre K-12, ,3,Private,0.026132326629437,0.000052962517164
100,1,100,144,39.931620000000002,-75.157849999999996,0,0,400.000000000000000,99,100,126515001,3647,2580,"KIRKBRIDE, ELIZA B. SCHOOL",Eliza B. Kirkbride School,1501 S 7TH ST,19147,215-400-7980, ,ELEMENTARYMIDDLE,K-8,553,1,District,0.026126732827807,0.000052943601894
101,1,101,145,39.928040000000003,-75.168890000000005,0,0,400.000000000000000,100,101,226510009, , ,True Gospel Tabernacle Learning Center,True Gospel Tabernacle Lrn Ctr,1900 S 16TH ST,19145,(215) 334-3343,O,Elementary School,pre K-4, ,3,Private,0.026125927235013,0.000052940877619
102,2,102,147,39.950400000000002,-75.160240000000002,1,0,400.000000000000000,101,102,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130962789794,0.000052957905562
103,1,103,148,39.933450000000001,-75.162279999999996,1,0,400.000000000000000,102,103,126515001,3642,2510,"JACKSON, ANDREW SCHOOL",Andrew Jackson School,1213 S 12TH ST,19147,215-400-7970, ,ELEMENTARYMIDDLE,K-8,588,1,District,0.026127145352522,0.000052944997160
104,0,104,150,39.891939999999998,-75.241870000000006,0,0,400.000000000000000,103,104,,,,,,,,,,,,,,,0.026117809744178,0.000052913425816
105,2,105,151,39.934139999999999,-75.167559999999995,0,0,400.000000000000000,104,105,126515001,3622,2260,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,1599 WHARTON ST,19146,215-400-7950, ,ELEMENTARYMIDDLE,K-8,530,1,District,0.026127300569248,0.000052945521897
106,2,106,152,39.949430000000000,-75.158810000000003,1,0,400.000000000000000,105,106,300518760, , ,Student Education Center Delaware Valley High School CC,Student Ed Ctr DVHS,204-06 S 13TH ST,19107,(215) 732-5060,O,High School,9-12, ,3,Private,0.026130744470383,0.000052957167526
107,2,107,153,39.959719999999997,-75.235190000000003,1,0,400.000000000000000,106,107,126515001,7245,1100,"SAYRE, WILLIAM L. HIGH SCHOOL",William L. Sayre High School,5800 WALNUT ST,19139,215-400-7800, ,HIGH,9-12,412,1,District,0.026133063784973,0.000052965009911
108,4,108,154,39.950550000000000,-75.148920000000004,1,0,400.000000000000000,107,108,326510174, , ,"Chesterbrook Academy
",Chesterbrook Acad,510 Walnut St,19106,(215)592-8257,O,Pre-school,Preschl, ,3,Private,0.026130996899395,0.000052958021136
109,2,109,155,39.934559999999998,-75.170820000000006,0,0,400.000000000000000,108,109,126515001,3622,2260,"CHILDS, GEORGE W. SCHOOL",George W. Childs School,1599 WHARTON ST,19146,215-400-7950, ,ELEMENTARYMIDDLE,K-8,530,1,District,0.026127394670034,0.000052945839746
110,2,110,158,39.927610000000001,-75.187659999999994,0,1,400.000000000000000,109,110,126512960,7540,3313,PREPARATORY CHARTER SCHOOL,"Preparatory Charter School of Mathematics, Science, Technology and Careers",1928 POINT BREEZE AVE,19145,215-334-6144, ,High School,9-12, ,2,Charter,0.026125830281808,0.000052940549559
111,0,111,160,39.972790000000003,-75.119669999999999,0,1,400.000000000000000,110,111,,,,,,,,,,,,,,,0.026136011840641,0.000052974978048
112,1,112,162,39.978900000000003,-75.159559999999999,1,0,400.000000000000000,111,112,0, ,3374,Alliance for Progress Charter School (Annex),Alliance CS (Annex),1630-32 N 16th St,19121,(215) 232-4892,O,Elementary School,4-8, ,2,Charter,0.026137390231050,0.000052979638348
113,3,113,163,39.958939999999998,-75.241399999999999,0,0,400.000000000000000,112,113,226512872, , ,Kids World Christian Education Center- West Philadelphia,Kids World Christian Ed Ctr- West Phila,100-04 S 61ST ST,19139,215-474-1484,O,Elementary School,pre K-4, ,3,Private,0.026132887637545,0.000052964413828
114,3,114,165,39.940809999999999,-75.166120000000006,0,0,400.000000000000000,113,114,126515001,7904,2620,ACADEMY AT PALUMBO,Academy at Palumbo,1100 CATHARINE ST,19147,215-400-8130, ,HIGH,9-12,1060,1,District,0.026128802021243,0.000052950598930
