OBJECTID,Join_Count,TARGET_FID,Row_Labels,Average_of,Average__1,comm,ind,BUFF_DIST,ORIG_FID,OBJECTID_1,AUN,SCHOOL_NUM,LOCATION_I,SCHOOL_NAM,SCHOOL_N_1,STREET_ADD,ZIP_CODE,PHONE_NUMB,ACTIVE,GRADE_LEVE,GRADE_ORG,ENROLLMENT,TYPE,TYPE_SPECI,Shape_Length,Shape_Area
1,1,1,0,39.970790000000001,-75.154150000000001,0,0,400.000000000000000,0,1,226518662, , ,St Malachy School,St Malachy School,1415 N 11th St,19122,(215) 232-0696,O,Elem/Middle,K-8, ,3,Archdiocese,0.026135560304465,0.000052973451126
2,1,2,1,40.041950000000000,-75.056830000000005,1,0,400.000000000000000,1,2,226515662, , ,Northeast Central Chr Sch,Northeast Central Chr Sch,7200-50 E ROOSEVELT BLV,19149,(215) 624-8046,O,Elementary School,pre K-5, ,3,Private,0.026151643811425,0.000053027825993
3,1,3,2,39.998289999999997,-75.127340000000004,0,1,400.000000000000000,2,3,133513315,8149,3406,ASPIRA CHARTER @ STETSON,Aspira Charter School at Stetson,3200 B ST,19134,215-291-4720, ,Middle School,5-8, ,2,Charter,0.026141768697436,0.000052994441866
4,1,4,4,39.937019999999997,-75.175150000000002,0,0,400.000000000000000,3,4,300519930, , ,Twenty-first Century Christian Academy,21 Century Christian Acad,1253 S 18TH ST,19146,610-812-5166,O,Pre-school,Preschl, ,3,Private,0.026127948743668,0.000052947713269
5,1,5,5,40.040500000000002,-75.047420000000002,0,0,400.000000000000000,4,5,226518932, , ,St Matthew School,St Matthew School,3000 COTTMAN AVE,19149,(215) 333-3142,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026151315984445,0.000053026718138
6,0,6,6,39.981220000000000,-75.188699999999997,0,0,400.000000000000000,5,6,,,,,,,,,,,,,,,0.026137914149831,0.000052981409918
7,3,7,7,39.970469999999999,-75.148970000000006,0,0,400.000000000000000,6,7,226519142, , ,St Peter the Apostle School,St Peter the Apostle Sch,1009 N 5th St,19123,(215) 922-5958,O,Elem/Middle,pre K-8, ,3,Archdiocese,0.026135487895690,0.000052973206050
8,1,8,10,39.959710000000001,-75.197130000000001,1,0,400.000000000000000,7,8,126515001,3783,1390,"POWEL, SAMUEL SCHOOL",Samuel Powel School,301 N 36TH ST,19104,215-400-7740, ,ELEMENTARY,K-04,244,1,District,0.026133061411350,0.000052965001333
9,0,9,11,39.968769999999999,-75.134439999999998,0,0,400.000000000000000,8,9,,,,,,,,,,,,,,,0.026135104236683,0.000052971908809
10,3,10,15,39.987870000000001,-75.155869999999993,0,0,400.000000000000000,9,10,126515001,5040,4460,"DUCKREY, TANNER SCHOOL",Tanner G. Duckrey School,1501 W DIAMOND ST,19121,215-400-7350, ,ELEMENTARYMIDDLE,K-8,585,1,District,0.026139414922367,0.000052986484002
