OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,NAME,Acres,Acres_1,AREA,PERCENTAGE
1,1,33.750940000000000,-84.393029999999996,1,0,1564,Fire Station #5 Park,0.080000000000000,0.079999944644838,0.083740586294063,0.067454330088424
2,6,33.757120000000000,-84.384240000000005,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.040000273367259,0.041577893957239,0.033491660449451
3,6,33.757120000000000,-84.384240000000005,1,0,1450,John Calhoun Park,0.280000000000000,0.280000746452808,0.279401378000179,0.225062291291487
4,6,33.757120000000000,-84.384240000000005,1,0,1481,Hurt Park,1.860000000000000,1.858665357920102,1.863501489075400,1.501080338108203
5,6,33.757120000000000,-84.384240000000005,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.911842827089784,0.912264510623979,0.734843695097337
6,9,33.811000000000000,-84.412800000000004,0,0,1369,Springlake Park,5.300000000000000,3.919674908082471,3.922787405003189,3.159859383055578
7,9,33.811000000000000,-84.412800000000004,0,0,1370,Ellsworth Park,1.270000000000000,1.269999999982436,1.270912447573892,1.023737513123077
8,11,33.740270000000002,-84.349239999999995,0,0,1482,Brownwood Park,12.660000000000000,4.731626287279646,4.730364353582831,3.810395658666014
9,11,33.740270000000002,-84.349239999999995,0,0,1579,Moreland Avenue Planters,0.050000000000000,0.049999999996683,0.054513546855761,0.043911666576032
10,13,33.781770000000002,-84.368679999999998,0,1,1332,Piedmont Park,193.490000000000009,18.540849671323873,18.541129181673302,14.935197592713159
11,15,33.746899999999997,-84.383840000000006,0,0,1344,Rawson-Washington Park,4.480000000000000,3.582744943949388,3.586227806943785,2.888764203011676
12,15,33.746899999999997,-84.383840000000006,0,0,1616,Memorial Drive Greenway,4.520000000000000,0.869438340419691,0.869692168381441,0.700551035490672
13,24,33.755560000000003,-84.384270000000001,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.013758208427033,0.014300835541014,0.011519552419711
14,24,33.755560000000003,-84.384270000000001,1,0,1450,John Calhoun Park,0.280000000000000,0.280000746452808,0.279401378000179,0.225062291694919
15,24,33.755560000000003,-84.384270000000001,1,0,1481,Hurt Park,1.860000000000000,1.859999572586857,1.864839175285373,1.502157868498128
16,24,33.755560000000003,-84.384270000000001,1,0,1488,Robert W. Woodruff Park,3.300000000000000,1.894127569079471,1.895003512151912,1.526455725692792
17,27,33.752070000000003,-84.392139999999998,1,0,1298,Marietta Street Island,0.170000000000000,0.115238530779497,0.116928462500103,0.094187682263970
18,27,33.752070000000003,-84.392139999999998,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.096633453840962,0.096678142174441,0.077875736517011
19,29,33.747320000000002,-84.314509999999999,0,0,1301,Oakview I Park,0.450000000000000,0.237554389696848,0.238418064855394,0.192050616737289
20,31,33.769100000000002,-84.352530000000002,0,0,1363,Freedom Park,125.129999999999995,19.742253788885854,19.742375502364020,15.902843331876779
21,32,33.772779999999997,-84.425079999999994,0,1,1467,Maddox Park,54.600000000000001,24.008592839093883,24.006611177940680,19.337631291604080
22,33,33.771090000000001,-84.359449999999995,0,0,1363,Freedom Park,125.129999999999995,23.792135463220102,23.792282144728254,19.165106079326460
23,35,33.755490000000002,-84.374380000000002,0,0,1466,70 Boulevard,1.650000000000000,1.650000325113471,1.652194816823485,1.330870657226960
24,35,33.755490000000002,-84.374380000000002,0,0,1480,Selena S. Butler Park,5.450000000000000,3.709881088732593,3.707367433374992,2.986346696162487
25,35,33.755490000000002,-84.374380000000002,0,0,1562,John Wesley Dobbs Park,1.380000000000000,1.380000180998154,1.381874389045543,1.113123015293074
26,35,33.755490000000002,-84.374380000000002,0,0,1651,Martin Luther King Jr. Playlot,1.450000000000000,1.450000088465237,1.454197296414006,1.171380331126497
27,42,33.746279999999999,-84.406570000000002,1,0,1491,Cleopas R. Johnson Park,4.290000000000000,4.289999999981688,4.289437224766138,3.455203065595547
28,44,33.799010000000003,-84.370490000000004,0,0,1332,Piedmont Park,193.490000000000009,1.034140859100433,1.034156449166585,0.833030637416407
29,44,33.799010000000003,-84.370490000000004,0,0,1394,Smith Park,0.410000000000000,0.409999999996429,0.405763851363956,0.326849694758132
30,44,33.799010000000003,-84.370490000000004,0,0,1589,Pelham Road Park,0.090000000000000,0.041640510283149,0.039673230429253,0.031957462973308
31,44,33.799010000000003,-84.370490000000004,0,0,1590,Piedmont Heights Park,0.030000000000000,0.030000000000040,0.034375317718525,0.027689904030992
32,45,33.764859999999999,-84.332999999999998,0,0,1333,Candler Park,51.189999999999998,4.586374692060083,4.586763631717176,3.694727078800284
33,46,33.781509999999997,-84.397729999999996,0,0,1462,Home Park,1.690000000000000,1.690000520052551,1.689522405128949,1.360935705661013
34,47,33.753120000000003,-84.387640000000005,1,0,1298,Marietta Street Island,0.170000000000000,0.095259551494807,0.096656498650180,0.077858338070293
35,47,33.753120000000003,-84.387640000000005,1,0,1481,Hurt Park,1.860000000000000,1.859999572586857,1.864839175285373,1.502157443976739
36,47,33.753120000000003,-84.387640000000005,1,0,1488,Robert W. Woodruff Park,3.300000000000000,3.300000330865472,3.301526422600824,2.659431739703124
37,49,33.754440000000002,-84.389840000000007,1,0,1298,Marietta Street Island,0.170000000000000,0.169999869358985,0.172492856468291,0.138945690451686
38,49,33.754440000000002,-84.389840000000007,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.040000273367259,0.041577893957239,0.033491643084232
39,49,33.754440000000002,-84.389840000000007,1,0,1481,Hurt Park,1.860000000000000,0.650857898550043,0.652551390144663,0.525640338477003
40,49,33.754440000000002,-84.389840000000007,1,0,1488,Robert W. Woodruff Park,3.300000000000000,3.300000330865471,3.301526422600824,2.659431107612758
41,50,33.736840000000001,-84.387870000000007,0,0,1461,Heritage (Founder's) Park,0.670000000000000,0.669999999983994,0.669366998357593,0.539185669141317
42,50,33.736840000000001,-84.387870000000007,0,0,1529,Phoenix II Park,7.130000000000000,1.367245279145942,1.366629287683644,1.100841434901717
43,52,33.764960000000002,-84.349209999999999,0,0,1354,Bass Recreation Center,4.820000000000000,4.820000171191577,4.824590606030369,3.886296655510633
44,52,33.764960000000002,-84.349209999999999,0,0,1355,Findley Plaza,0.110000000000000,0.110000152720674,0.113304070796269,0.091268517341326
45,52,33.764960000000002,-84.349209999999999,0,0,1363,Freedom Park,125.129999999999995,0.211638132660316,0.211639437436028,0.170479467595392
46,53,33.764659999999999,-84.390349999999998,1,0,1487,Hardy Ivy Park,0.560000000000000,0.559999287157624,0.556767092305180,0.448484567538574
47,56,33.759670000000000,-84.384200000000007,1,0,1295,Folk Art (Piedmont) Park,0.300000000000000,0.298429218423806,0.301724570261591,0.243043985724658
48,56,33.759670000000000,-84.384200000000007,1,0,1650,Piedmont Harris Park,0.380000000000000,0.379999985841386,0.377183394027748,0.303827279807473
49,58,33.747430000000001,-84.331819999999993,0,0,1636,Kirkwood Urban Forest,6.460000000000000,4.399861220892148,4.401330220153322,3.545357153164166
50,61,33.760970000000000,-84.386039999999994,1,0,1294,Folk Art (Courtland) Park,0.490000000000000,0.191964558788869,0.193904618897525,0.156193253476148
51,61,33.760970000000000,-84.386039999999994,1,0,1295,Folk Art (Piedmont) Park,0.300000000000000,0.264340254993964,0.267259185485072,0.215281523151130
52,61,33.760970000000000,-84.386039999999994,1,0,1487,Hardy Ivy Park,0.560000000000000,0.559999287157624,0.556767092305180,0.448484745077471
53,61,33.760970000000000,-84.386039999999994,1,0,1489,Walton Spring Park,0.180000000000000,0.180000243678900,0.184274144538956,0.148435753262198
54,61,33.760970000000000,-84.386039999999994,1,0,1650,Piedmont Harris Park,0.380000000000000,0.297451703543381,0.295246966531883,0.237826125771400
55,63,33.750169999999997,-84.376679999999993,0,1,1480,Selena S. Butler Park,5.450000000000000,5.450000265764550,5.446307580732522,4.387091031689894
56,63,33.750169999999997,-84.376679999999993,0,1,1544,Oakland Cemetery,47.700000000000003,15.845187003098181,15.846157401493310,12.764342445287966
57,63,33.750169999999997,-84.376679999999993,0,1,1616,Memorial Drive Greenway,4.520000000000000,3.533959045137096,3.534990765938482,2.847493656292812
58,66,33.696010000000001,-84.486230000000006,0,0,1628,Campbellton Road Park,10.180000000000000,0.732094608409680,0.731750243444384,0.589429708455744
59,70,33.747390000000003,-84.326300000000003,0,0,1636,Kirkwood Urban Forest,6.460000000000000,4.440770187662535,4.442252845364043,3.578322474109942
60,72,33.762709999999998,-84.352699999999999,0,0,1354,Bass Recreation Center,4.820000000000000,4.820000171191577,4.824590606030369,3.886295642229346
61,72,33.762709999999998,-84.352699999999999,0,0,1355,Findley Plaza,0.110000000000000,0.012339160790742,0.012709774606867,0.010237955031179
62,72,33.762709999999998,-84.352699999999999,0,0,1363,Freedom Park,125.129999999999995,18.998749201359978,18.998866331038826,15.303933008808185
63,76,33.760280000000002,-84.348860000000002,1,0,1354,Bass Recreation Center,4.820000000000000,4.779587019577573,4.784138966048621,3.853712329657113
64,77,33.775880000000001,-84.407010000000000,0,1,1286,J. Allen Couch Park,6.400000000000000,0.752298391911415,0.752785374469612,0.606379360625501
65,83,33.754399999999997,-84.379419999999996,1,0,1450,John Calhoun Park,0.280000000000000,0.280000746452808,0.279401378000179,0.225062391450409
66,83,33.754399999999997,-84.379419999999996,1,0,1480,Selena S. Butler Park,5.450000000000000,3.666864783478917,3.664380274113755,2.951718397305889
67,83,33.754399999999997,-84.379419999999996,1,0,1562,John Wesley Dobbs Park,1.380000000000000,1.380000180998154,1.381874389045543,1.113122479598017
68,89,33.773809999999997,-84.402780000000007,0,1,1286,J. Allen Couch Park,6.400000000000000,0.172285536662046,0.172397061626457,0.138868352421552
69,92,33.764000000000003,-84.388999999999996,1,0,1293,Mayor's #1 Park,0.220000000000000,0.219999909277768,0.221553476447104,0.178464804886527
70,92,33.764000000000003,-84.388999999999996,1,0,1294,Folk Art (Courtland) Park,0.490000000000000,0.014750157254672,0.014899227436515,0.012001561699947
71,92,33.764000000000003,-84.388999999999996,1,0,1487,Hardy Ivy Park,0.560000000000000,0.559999287157624,0.556767092305180,0.448484637158043
72,93,33.795879999999997,-84.367940000000004,0,0,1332,Piedmont Park,193.490000000000009,11.899598045539367,11.899777436498610,9.585475607881083
73,93,33.795879999999997,-84.367940000000004,0,0,1394,Smith Park,0.410000000000000,0.409999999996429,0.405763851363956,0.326849768456973
74,93,33.795879999999997,-84.367940000000004,0,0,1421,Piedmont-Avery Triangle,0.040000000000000,0.039999993655423,0.040270502612232,0.032438583205993
75,94,33.757140000000000,-84.386099999999999,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.040000273367259,0.041577893957239,0.033491655455706
76,94,33.757140000000000,-84.386099999999999,1,0,1450,John Calhoun Park,0.280000000000000,0.039094960188998,0.039011273677120,0.031424201962371
77,94,33.757140000000000,-84.386099999999999,1,0,1481,Hurt Park,1.860000000000000,1.859999572586857,1.864839175285372,1.502157641827496
78,94,33.757140000000000,-84.386099999999999,1,0,1488,Robert W. Woodruff Park,3.300000000000000,3.244362336560369,3.245862698394275,2.614594074027667
79,94,33.757140000000000,-84.386099999999999,1,0,1489,Walton Spring Park,0.180000000000000,0.047232017920024,0.048353488412979,0.038949504649622
