OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,ASSET_NAME,OBJECTID_1,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
42,25,39.936920000000001,-75.150229999999993,0,0,Weccacoe Playground Building,496,0.062378930000000,0.062378962087900,0.081180231716251,0.201019614413936
43,31,39.917510000000000,-75.156139999999994,0,0,Mifflin Square,232,4.171896020000000,1.191696404298867,1.550460142735580,3.840342578620363
44,32,39.941540000000003,-75.163759999999996,0,0,Hawthorne Park,273,0.874580500000000,0.874581565940209,1.138231529734299,2.818317404749853
45,33,39.956049999999998,-75.146039999999999,0,0,Vine Street Park,1372,11.868121490000000,4.038487403593306,5.257210489482238,13.014395787169363
46,34,39.939180000000000,-75.149730000000005,0,0,Edward Shippen Plaza/Bainbridge Green,391,0.348398460000000,0.301618983743263,0.392544372200297,0.971992214577957
47,34,39.939180000000000,-75.149730000000005,0,0,Weccacoe Playground,269,0.903741930000000,0.903742407436735,1.176137054699234,2.912272194953249
48,34,39.939180000000000,-75.149730000000005,0,0,Weccacoe Playground Building,496,0.062378930000000,0.062378962087900,0.081180231716251,0.201013079778833
49,41,39.950940000000003,-75.152000000000001,1,0,Atwater Kent Museum,378,0.444489940000000,0.444489376476845,0.578565012764972,1.432361789647099
50,41,39.950940000000003,-75.152000000000001,1,0,Atwater Kent Museum Building,516,0.148192610000000,0.148192349662135,0.192893218951590,0.477548538560741
51,43,39.985790000000001,-75.111559999999997,0,0,Cohocksink Recreation Center,212,5.116619660000000,3.690134750778354,4.805614558566408,11.891361571932642
52,43,39.985790000000001,-75.111559999999997,0,0,Cohocksink Recreation Center Building,620,0.257187680000000,0.000038732029245,0.000050440278563,0.000124813087456
53,44,39.942010000000003,-75.152339999999995,0,0,Edward Shippen Plaza/Bainbridge Green,391,0.348398460000000,0.036737374574395,0.047812141860634,0.118384425795887
54,44,39.942010000000003,-75.152339999999995,0,0,Starr Garden Playground,309,2.166848140000000,2.166846951882642,2.820149177881479,6.982781529750468
55,44,39.942010000000003,-75.152339999999995,0,0,Starr Garden Playground Building,503,0.081968890000000,0.081969249969603,0.106682961660759,0.264150499578690
56,46,39.937849999999997,-75.174970000000002,0,1,"Charles H. Chew, Sr. Playground",290,2.798553960000000,2.798555227912645,3.642072123177505,9.018429075669648
57,46,39.937849999999997,-75.174970000000002,0,1,"Charles H. Chew, Sr. Playground Building",495,0.057040710000000,0.057040715462704,0.074233153222709,0.183814708978977
58,46,39.937849999999997,-75.174970000000002,0,1,"Charles H. Chew, Sr. Playground Garden",1351,0.025111020000000,0.025111036509415,0.032679673632574,0.080920780507299
59,48,39.932209999999998,-75.191509999999994,1,0,Lanier Park,1003,4.119986350000000,1.335654053341106,1.738104994889493,4.304211333834805
