OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,NAME,Acres,Acres_1,AREA,PERCENTAGE
1,9,33.811000000000000,-84.412800000000004,0,0,1369,Springlake Park,5.300000000000000,1.149653195279289,1.150566100587538,3.708400243622298
2,9,33.811000000000000,-84.412800000000004,0,0,1370,Ellsworth Park,1.270000000000000,1.268730988782096,1.269642524636376,4.092196567646524
3,13,33.781770000000002,-84.368679999999998,0,1,1332,Piedmont Park,193.490000000000009,4.297445541277315,4.297510326900746,13.851402863310403
4,24,33.755560000000003,-84.384270000000001,1,0,1450,John Calhoun Park,0.280000000000000,0.014467503111412,0.014436534033425,0.046530656732542
5,24,33.755560000000003,-84.384270000000001,1,0,1481,Hurt Park,1.860000000000000,1.016624046155224,1.019269238417449,3.285225313848419
6,31,33.769100000000002,-84.352530000000002,0,0,1363,Freedom Park,125.129999999999995,10.179891666867089,10.179954427179835,32.811285461614631
7,32,33.772779999999997,-84.425079999999994,0,1,1467,Maddox Park,54.600000000000001,5.268944931149431,5.268510034212388,16.980960992564103
8,33,33.771090000000001,-84.359449999999995,0,0,1363,Freedom Park,125.129999999999995,12.893600346173798,12.893679836841933,41.557944761783830
9,35,33.755490000000002,-84.374380000000002,0,0,1466,70 Boulevard,1.650000000000000,1.049769040842318,1.051165228117251,3.388033029174509
10,35,33.755490000000002,-84.374380000000002,0,0,1651,Martin Luther King Jr. Playlot,1.450000000000000,0.626665668888016,0.628479631623330,2.025666082883174
11,42,33.746279999999999,-84.406570000000002,1,0,1491,Cleopas R. Johnson Park,4.290000000000000,0.007547234443209,0.007546244374097,0.024322385401623
12,46,33.781509999999997,-84.397729999999996,0,0,1462,Home Park,1.690000000000000,0.074163745357075,0.074142763828948,0.238970596672987
13,47,33.753120000000003,-84.387640000000005,1,0,1481,Hurt Park,1.860000000000000,0.213203571441022,0.213758313815637,0.688968103618555
14,47,33.753120000000003,-84.387640000000005,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.117512627522005,0.117566971470999,0.378932131044092
15,49,33.754440000000002,-84.389840000000007,1,0,1298,Marietta Street Island,0.170000000000000,0.138568090674652,0.140600142023371,0.453170634288616
16,49,33.754440000000002,-84.389840000000007,1,0,1488,Robert W. Woodruff Park,3.300000000000000,2.271266116322409,2.272316467868283,7.323940646355608
17,52,33.764960000000002,-84.349209999999999,0,0,1354,Bass Recreation Center,4.820000000000000,0.649134124952369,0.649752342337513,2.094234899464877
18,52,33.764960000000002,-84.349209999999999,0,0,1355,Findley Plaza,0.110000000000000,0.109999999997902,0.113303913486381,0.365193004176767
19,63,33.750169999999997,-84.376679999999993,0,1,1480,Selena S. Butler Park,5.450000000000000,1.167779217134491,1.166987980322464,3.761342993384396
20,63,33.750169999999997,-84.376679999999993,0,1,1544,Oakland Cemetery,47.700000000000003,0.491462972536114,0.491493070942635,1.584141439208509
21,70,33.747390000000003,-84.326300000000003,0,0,1636,Kirkwood Urban Forest,6.460000000000000,0.014345729593374,0.014350519259483,0.046253634620961
22,72,33.762709999999998,-84.352699999999999,0,0,1354,Bass Recreation Center,4.820000000000000,1.458759408998762,1.460148691109686,4.706244556829345
23,72,33.762709999999998,-84.352699999999999,0,0,1363,Freedom Park,125.129999999999995,1.601165151861044,1.601175023245630,5.160790324685352
24,83,33.754399999999997,-84.379419999999996,1,0,1562,John Wesley Dobbs Park,1.380000000000000,1.218750861021743,1.220406072885438,3.933514810699098
25,92,33.764000000000003,-84.388999999999996,1,0,1487,Hardy Ivy Park,0.560000000000000,0.357655310749966,0.355591001596605,1.146111382406210
26,93,33.795879999999997,-84.367940000000004,0,0,1332,Piedmont Park,193.490000000000009,6.680781906214448,6.680882621538620,21.533306136564779
27,93,33.795879999999997,-84.367940000000004,0,0,1394,Smith Park,0.410000000000000,0.409999999996624,0.405763851364149,1.307826783605957
28,94,33.757140000000000,-84.386099999999999,1,0,1444,Margaret Mitchell Square,0.040000000000000,0.039999906080096,0.041577512184181,0.134009220856610
29,94,33.757140000000000,-84.386099999999999,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.295278143728079,0.295414695694622,0.952156372999428
30,98,33.753880000000002,-84.388999999999996,1,0,1298,Marietta Street Island,0.170000000000000,0.035701540898948,0.036225091190951,0.116757705090019
31,98,33.753880000000002,-84.388999999999996,1,0,1488,Robert W. Woodruff Park,3.300000000000000,2.080570581692145,2.081532745707658,6.709023454970979
32,102,33.736829999999998,-84.393479999999997,0,0,1306,Ralph David Abernathy Median,0.290000000000000,0.088618564648699,0.088260645121205,0.284474254162298
33,107,33.762259999999998,-84.389020000000002,1,0,1487,Hardy Ivy Park,0.560000000000000,0.446009571837630,0.443435300985338,1.429243777654146
34,108,33.788449999999997,-84.383870000000002,0,0,1425,Peachtree Cir. at 15th St. Triangle,0.110000000000000,0.109999999997724,0.107308379238652,0.345867607509838
35,108,33.788449999999997,-84.383870000000002,0,0,1431,Peachtree at 15th St. Park,0.050000000000000,0.049999999999972,0.051975789139912,0.167524120351097
36,110,33.690629999999999,-84.511460000000000,0,0,1604,Ben Hill Park,22.899999999999999,1.283936391568356,1.283830029448338,4.137873341953979
37,115,33.755560000000003,-84.386120000000005,1,0,1481,Hurt Park,1.860000000000000,1.573762699969080,1.577857532205521,5.085620465081166
38,115,33.755560000000003,-84.386120000000005,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.847697799217289,0.848089818755398,2.733493265682009
39,118,33.754489999999997,-84.384309999999999,1,0,1481,Hurt Park,1.860000000000000,1.859999345711090,1.864838947819290,6.010596535541538
40,121,33.754449999999999,-84.386489999999995,1,0,1481,Hurt Park,1.860000000000000,1.859999345711090,1.864838947819290,6.010595175633217
41,121,33.754449999999999,-84.386489999999995,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.591822092491197,0.592095781798347,1.908394316705783
42,122,33.828640000000000,-84.387460000000004,0,0,1548,West Wesley Park,1.130000000000000,1.078727384669068,1.076101997567600,3.468403019136867
43,126,33.753290000000000,-84.389470000000003,1,0,1298,Marietta Street Island,0.170000000000000,0.025388789838840,0.025761107335482,0.083031054356404
44,126,33.753290000000000,-84.389470000000003,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.847266985804613,0.847658806112199,2.732103224035215
45,127,33.775160000000000,-84.341549999999998,0,0,1360,Virgilee Park,3.500000000000000,2.042792050236238,2.040647391265964,6.577271134467956
46,127,33.775160000000000,-84.341549999999998,0,0,1470,Oak Grove Park,3.430000000000000,2.065360172536965,2.064980119226671,6.655698671691589
47,129,33.738070000000000,-84.394580000000005,0,0,1305,Ralph David Abernathy Plaza,0.330000000000000,0.024073743988804,0.023754571205481,0.076563718913482
48,129,33.738070000000000,-84.394580000000005,0,0,1306,Ralph David Abernathy Median,0.290000000000000,0.066344989718150,0.066077030431451,0.212973879462148
49,134,33.772820000000003,-84.341719999999995,0,0,1360,Virgilee Park,3.500000000000000,0.079243459258721,0.079160264204327,0.255143788074419
50,134,33.772820000000003,-84.341719999999995,0,0,1363,Freedom Park,125.129999999999995,0.478984576787693,0.478987529787864,1.543838869398364
51,134,33.772820000000003,-84.341719999999995,0,0,1470,Oak Grove Park,3.430000000000000,0.225924686085651,0.225883112985731,0.728050540110133
52,136,33.736870000000003,-84.390860000000004,0,0,1306,Ralph David Abernathy Median,0.290000000000000,0.025012811727903,0.024911788045219,0.080293587673076
53,151,33.754379999999998,-84.378050000000002,1,0,1480,Selena S. Butler Park,5.450000000000000,0.370622282365627,0.370371164698125,1.193750697467222
54,151,33.754379999999998,-84.378050000000002,1,0,1562,John Wesley Dobbs Park,1.380000000000000,1.379999690082491,1.381873897463157,4.453945355743145
55,152,33.824159999999999,-84.407579999999996,0,0,1442,Haynes Manor Park,2.980000000000000,1.323940111591922,1.323684899337013,4.266383370653114
56,153,33.789920000000002,-84.496179999999995,0,1,1438,English Park,9.470000000000001,6.307492328802101,6.307729834201744,20.330294356940882
57,165,33.764870000000002,-84.341750000000005,0,0,1356,Iverson Park,2.000000000000000,0.646055153935253,0.647056825884668,2.085548085947525
58,167,33.765459999999997,-84.349149999999995,0,0,1355,Findley Plaza,0.110000000000000,0.109999999997902,0.113303913486381,0.365192974662356
59,170,33.764650000000003,-84.388990000000007,1,0,1487,Hardy Ivy Park,0.560000000000000,0.001323074786247,0.001315438284538,0.004239811280380
60,181,33.732109999999999,-84.413730000000001,0,0,1348,Rose Circle Triangle,0.200000000000000,0.142857357862297,0.146387121823726,0.471821630747546
61,181,33.732109999999999,-84.413730000000001,0,0,1349,Adair Park II,10.560000000000000,6.112706667836929,6.115001951104362,19.709317026320999
62,186,33.755429999999997,-84.391080000000002,1,0,1298,Marietta Street Island,0.170000000000000,0.170000585512204,0.172493583123640,0.555966885216696
63,186,33.755429999999997,-84.391080000000002,1,0,1488,Robert W. Woodruff Park,3.300000000000000,0.264990408626324,0.265112953969356,0.854489892202490
64,188,33.756990000000002,-84.392669999999995,1,0,1298,Marietta Street Island,0.170000000000000,0.049288559057236,0.050011358097195,0.161192394104299
65,190,33.768270000000001,-84.358549999999994,0,0,1363,Freedom Park,125.129999999999995,9.241667633077640,9.241724609121189,29.787237383753919
66,199,33.750700000000002,-84.373570000000001,0,1,1544,Oakland Cemetery,47.700000000000003,8.073357954996375,8.073852387381507,26.023006789599961
67,204,33.760990000000000,-84.387559999999993,1,0,1487,Hardy Ivy Park,0.560000000000000,0.050144589071018,0.049855165340684,0.160689032806311
68,205,33.761800000000001,-84.341819999999998,0,1,1356,Iverson Park,2.000000000000000,1.381619200364439,1.383761322734871,4.460042266940275
69,206,33.751750000000001,-84.396180000000001,1,0,1564,Fire Station #5 Park,0.080000000000000,0.079999932237981,0.083740573307085,0.269905461908489
70,209,33.754539999999999,-84.398610000000005,1,0,1490,Mitchell-Haynes Park,0.080000000000000,0.001638029655147,0.001598765362317,0.005153002801635
71,210,33.788220000000003,-84.367239999999995,0,0,1332,Piedmont Park,193.490000000000009,0.352684513306035,0.352689830159000,1.136762841892130
72,215,33.785690000000002,-84.367450000000005,0,0,1398,Orme Triangle,0.040000000000000,0.040000000003259,0.039484337412042,0.127262876908333
