FID,Row_Labels,Average_of,Average__1,Comm
218,330,42.351250000000000,-71.073059999999998,1
220,332,42.351019999999998,-71.066890000000001,1
222,335,42.352780000000003,-71.130189999999999,1
226,340,42.293300000000002,-71.071860000000001,1
228,343,42.354480000000002,-71.059139999999999,1
232,351,42.337960000000002,-71.108310000000003,1
235,354,42.340350000000001,-71.151240000000001,1
238,357,42.282660000000000,-71.055769999999995,1
240,359,42.271210000000004,-71.092410000000001,1
242,363,42.347310000000000,-71.075909999999993,1
244,365,42.352849999999997,-71.073849999999993,1
245,366,42.352670000000003,-71.071079999999995,1
246,367,42.348979999999997,-71.097179999999994,1
249,372,42.341639999999998,-71.083250000000007,1
251,375,42.358840000000001,-71.056960000000004,1
252,376,42.359020000000001,-71.147660000000002,1
253,377,42.301909999999999,-71.085660000000004,1
254,379,42.262909999999998,-71.155420000000007,1
255,384,42.348920000000000,-71.160439999999994,1
256,385,42.318469999999998,-71.044079999999994,1
257,386,42.357450000000000,-71.148300000000006,1
258,388,42.346229999999998,-71.070610000000002,1
259,389,42.314610000000002,-71.099480000000000,1
260,390,42.288390000000000,-71.135419999999996,1
261,391,42.307580000000002,-71.058419999999998,1
269,408,42.308390000000003,-71.083209999999994,1
270,411,42.318379999999998,-71.098309999999998,1
271,414,42.308100000000003,-71.058319999999995,1
272,415,42.355530000000002,-71.132760000000005,1
273,418,42.380710000000001,-71.023520000000005,1
274,419,42.308079999999997,-71.065029999999993,1
275,420,42.267499999999998,-71.094189999999998,1
276,421,42.356749999999998,-71.057320000000004,1
278,423,42.353670000000001,-71.053629999999998,1
279,424,42.353020000000001,-71.056079999999994,1
281,429,42.355499999999999,-71.056529999999995,1
282,432,42.352370000000001,-71.052279999999996,1
284,437,42.343359999999997,-71.085780000000000,1
286,439,42.357419999999998,-71.058340000000001,1
288,443,42.242719999999998,-71.126329999999996,1
291,446,42.317340000000002,-71.098290000000006,1
292,447,42.273899999999998,-71.067620000000005,1
294,450,42.288910000000001,-71.134159999999994,1
295,451,42.300849999999997,-71.075940000000003,1
296,452,42.352209999999999,-71.124080000000006,1
302,460,42.341749999999998,-71.145870000000002,1
303,461,42.345950000000002,-71.061269999999993,1
308,466,42.357779999999998,-71.070279999999997,1
311,471,42.268689999999999,-71.093750000000000,1
312,472,42.347290000000001,-71.087739999999997,1
316,476,42.357340000000001,-71.128100000000003,1
319,481,42.349980000000002,-71.084530000000001,1
322,485,42.261270000000003,-71.157039999999995,1
323,486,42.309379999999997,-71.082700000000003,1
325,490,42.252580000000002,-71.118279999999999,1
326,491,42.361390000000000,-71.070849999999993,1
329,497,42.287219999999998,-71.090459999999993,1
330,498,42.355190000000000,-71.051969999999997,1
333,502,42.294919999999998,-71.087919999999997,1
335,505,42.277220000000000,-71.093480000000000,1
338,511,42.272219999999997,-71.067999999999998,1
339,512,42.350310000000000,-71.079880000000003,1
344,522,42.312959999999997,-71.057209999999998,1
347,525,42.354089999999999,-71.058620000000005,1
349,527,42.301540000000003,-71.059799999999996,1
350,528,42.317970000000003,-71.082030000000003,1
352,533,42.303390000000000,-71.078530000000001,1
353,534,42.342199999999998,-71.084069999999997,1
354,535,42.353209999999997,-71.074029999999993,1
357,540,42.300989999999999,-71.114559999999997,1
364,557,42.350459999999998,-71.128020000000006,1
371,566,42.282879999999999,-71.157309999999995,1
372,567,42.347799999999999,-71.078630000000004,1
375,570,42.280799999999999,-71.084450000000004,1
377,574,42.360930000000003,-71.052800000000005,1
379,577,42.320010000000003,-71.059690000000003,1
381,580,42.376539999999999,-71.065809999999999,1
382,582,42.351120000000002,-71.115780000000001,1
383,583,42.342750000000002,-71.103260000000006,1
385,586,42.318590000000000,-71.063509999999994,1
386,588,42.341470000000001,-71.086510000000004,1
388,591,42.356070000000003,-71.054890000000000,1
389,593,42.358860000000000,-71.147509999999997,1
391,596,42.342030000000001,-71.087329999999994,1
392,597,42.295630000000003,-71.157640000000001,1
393,598,42.354050000000001,-71.052869999999999,1
395,600,42.356020000000001,-71.069410000000005,1
396,601,42.353230000000003,-71.056870000000004,1
397,603,42.283360000000002,-71.049289999999999,1
398,604,42.352049999999998,-71.073459999999997,1
399,606,42.350850000000001,-71.113799999999998,1
400,607,42.310929999999999,-71.114590000000007,1
402,609,42.337670000000003,-71.149839999999998,1
406,618,42.322730000000000,-71.104879999999994,1
408,621,42.356679999999997,-71.050770000000000,1
411,624,42.348909999999997,-71.088530000000006,1
412,625,42.298169999999999,-71.086920000000006,1
413,626,42.349290000000003,-71.100589999999997,1
416,629,42.324919999999999,-71.098330000000004,1
421,636,42.276110000000003,-71.093509999999995,1
422,637,42.299370000000003,-71.073639999999997,1
423,640,42.353110000000001,-71.048429999999996,1
424,643,42.349860000000000,-71.074809999999999,1
427,647,42.342399999999998,-71.140429999999995,1
432,655,42.353230000000003,-71.059439999999995,1
434,658,42.350859999999997,-71.082750000000004,1
435,659,42.353420000000000,-71.057760000000002,1
436,660,42.320729999999998,-71.081710000000001,1
438,663,42.283929999999998,-71.046750000000003,1
442,672,42.278640000000003,-71.119180000000000,1
443,673,42.342599999999997,-71.153850000000006,1
447,678,42.290849999999999,-71.089359999999999,1
451,682,42.352539999999998,-71.140270000000001,1
452,684,42.340919999999997,-71.150409999999994,1
454,688,42.351120000000002,-71.080280000000002,1
455,689,42.290070000000000,-71.045550000000006,1
461,701,42.344119999999997,-71.104200000000006,1
463,704,42.351909999999997,-71.070689999999999,1
464,705,42.331780000000002,-71.097160000000002,1
466,708,42.336309999999997,-71.110029999999995,1
467,709,42.329569999999997,-71.060910000000007,1
470,717,42.252220000000001,-71.130949999999999,1
471,718,42.363199999999999,-71.129750000000001,1
479,730,42.360160000000000,-71.136600000000001,1
482,733,42.255620000000000,-71.125590000000003,1
483,735,42.267659999999999,-71.093789999999998,1
484,737,42.336709999999997,-71.098100000000002,1
487,740,42.314610000000002,-71.067329999999998,1
488,741,42.348509999999997,-71.137670000000000,1
491,745,42.347870000000000,-71.085560000000001,1
493,747,42.310459999999999,-71.114819999999995,1
494,750,42.351439999999997,-71.118409999999997,1
496,754,42.289070000000002,-71.067009999999996,1
497,755,42.352640000000001,-71.076170000000005,1
499,757,42.358820000000001,-71.057829999999996,1
501,759,42.352510000000002,-71.059399999999997,1
503,764,42.296070000000000,-71.116219999999998,1
505,769,42.324109999999997,-71.098550000000003,1
506,770,42.287700000000001,-71.106700000000004,1
507,773,42.354140000000001,-71.054109999999994,1
510,780,42.349159999999998,-71.080770000000001,1
512,785,42.346969999999999,-71.070970000000003,1
513,786,42.333260000000003,-71.107069999999993,1
514,787,42.358449999999998,-71.158169999999998,1
518,793,42.292040000000000,-71.047680000000000,1
521,798,42.286149999999999,-71.154880000000006,1
523,800,42.349570000000000,-71.047190000000001,1
526,806,42.300919999999998,-71.112849999999995,1
527,807,42.326120000000003,-71.075370000000007,1
528,808,42.350140000000003,-71.130859999999998,1
529,811,42.351799999999997,-71.043379999999999,1
537,825,42.312770000000000,-71.058880000000002,1
538,826,42.349170000000001,-71.084130000000002,1
539,827,42.353619999999999,-71.056190000000001,1
541,831,42.351430000000001,-71.052859999999995,1
543,834,42.349429999999998,-71.149000000000001,1
544,835,42.321599999999997,-71.112089999999995,1
545,839,42.337000000000003,-71.109290000000001,1
546,842,42.348080000000003,-71.069180000000003,1
548,844,42.271700000000003,-71.093729999999994,1
550,848,42.336970000000001,-71.093660000000000,1
554,854,42.278829999999999,-71.069509999999994,1
555,855,42.276499999999999,-71.092669999999998,1
556,857,42.345230000000001,-71.095339999999993,1
557,862,42.356040000000000,-71.053210000000007,1
560,868,42.346620000000001,-71.105090000000004,1
561,869,42.286090000000002,-71.043340000000001,1
563,872,42.332479999999997,-71.100040000000007,1
565,874,42.345550000000003,-71.094340000000003,1
566,877,42.349510000000002,-71.079499999999996,1
568,881,42.349110000000003,-71.153430000000000,1
569,882,42.324800000000003,-71.065179999999998,1
571,885,42.349170000000001,-71.077050000000000,1
577,896,42.355440000000002,-71.057339999999996,1
578,897,42.355240000000002,-71.054029999999997,1
581,900,42.297939999999997,-71.114890000000003,1
582,901,42.303410000000000,-71.071430000000007,1
584,903,42.350679999999997,-71.168459999999996,1
586,909,42.356299999999997,-71.069490000000002,1
587,911,42.285769999999999,-71.109930000000006,1
591,919,42.317030000000003,-71.065119999999993,1
595,927,42.339919999999999,-71.166129999999995,1
596,928,42.325980000000001,-71.058850000000007,1
599,932,42.315860000000001,-71.098259999999996,1
600,934,42.355449999999998,-71.058040000000005,1
601,936,42.356819999999999,-71.056330000000003,1
603,942,42.272430000000000,-71.066370000000006,1
604,944,42.351779999999998,-71.121279999999999,1
607,949,42.356690000000000,-71.051519999999996,1
609,951,42.280430000000003,-71.082660000000004,1
612,954,42.301009999999998,-71.067369999999997,1
615,958,42.265889999999999,-71.121060000000000,1
616,959,42.350549999999998,-71.050960000000003,1
618,961,42.377079999999999,-71.057060000000007,1
619,963,42.343460000000000,-71.104190000000003,1
620,965,42.351070000000000,-71.070290000000000,1
621,966,42.343240000000002,-71.102540000000005,1
623,972,42.278320000000001,-71.136989999999997,1
630,985,42.361240000000002,-71.062870000000004,1
632,990,42.287230000000001,-71.129620000000003,1
637,997,42.334119999999999,-71.104810000000001,1
638,999,42.356169999999999,-71.149100000000004,1
639,1000,42.357039999999998,-71.050780000000003,1
642,1003,42.341560000000001,-71.154550000000000,1
643,1004,42.342779999999998,-71.084919999999997,1
644,1005,42.258740000000003,-71.117980000000003,1
654,1022,42.347490000000001,-71.068619999999996,1
655,1023,42.353580000000001,-71.137400000000000,1
656,1024,42.287529999999997,-71.152240000000006,1
657,1025,42.359470000000002,-71.070760000000007,1
658,1027,42.353000000000002,-71.132090000000005,1
659,1028,42.278869999999998,-71.159430000000000,1
660,1029,42.359250000000003,-71.059359999999998,1
661,1030,42.262509999999999,-71.155829999999995,1
662,1031,42.352649999999997,-71.057130000000001,1
663,1032,42.358780000000003,-71.158270000000002,1
665,1036,42.281610000000001,-71.087010000000006,1
666,1039,42.298650000000002,-71.060649999999995,1
667,1040,42.322389999999999,-71.108450000000005,1
670,1047,42.311190000000003,-71.108689999999996,1
671,1048,42.351460000000003,-71.075590000000005,1
672,1049,42.285600000000002,-71.090990000000005,1
673,1051,42.285119999999999,-71.156469999999999,1
674,1053,42.286250000000003,-71.042240000000007,1
682,1067,42.284520000000001,-71.071529999999996,1
683,1068,42.287990000000001,-71.077809999999999,1
685,1070,42.360399999999998,-71.146479999999997,1
687,1073,42.343969999999999,-71.100020000000001,1
688,1074,42.255839999999999,-71.124110000000002,1
