OBJECTID,Row_Labels,Average_of,Average__1,Comm,ACRES,SITE_NAME,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
59,15,42.287860000000002,-71.171520000000001,0,128.275772579999995,St Joseph's Cemetery,8153,28.896547726850141,39.212826365272932,23.425853362375484
60,15,42.287860000000002,-71.171520000000001,0,146.637042549999990,Sawmill Brook/Brook Farm,8146,30.669814839312977,42.137056101835952,25.172796476562464
61,16,42.361229999999999,-71.063749999999999,1,0.059114790000000,Temple Street Park,8298,0.059114750004444,0.075892640818728,0.045286410499398
62,16,42.361229999999999,-71.063749999999999,1,0.070000000000000,Cardinal Cushing Park II,8495,0.069999962524744,0.092117981198089,0.054968342989628
63,16,42.361229999999999,-71.063749999999999,1,0.070000000000000,Hawkins-New Sudbury Mall II,8498,0.070000246989635,0.096430437181258,0.057541657738035
64,16,42.361229999999999,-71.063749999999999,1,0.100000000000000,Hawkins-New Sudbury Mall I,8497,0.099999960636685,0.130234003315578,0.077712812092234
65,16,42.361229999999999,-71.063749999999999,1,0.115266360000000,Phillips Street Play Area,7860,0.115266198785429,0.155581453644633,0.092838060447426
66,16,42.361229999999999,-71.063749999999999,1,0.130000000000000,Pemberton Square Access,8388,0.130000974290994,0.170581061781883,0.101788577969357
67,16,42.361229999999999,-71.063749999999999,1,0.147665650000000,Myrtle Street Playground,7861,0.147665488330290,0.216938102866054,0.129450601183038
68,16,42.361229999999999,-71.063749999999999,1,0.184852390000000,Pemberton Square I,7879,0.184852707873421,0.249500011846623,0.148880837907311
69,16,42.361229999999999,-71.063749999999999,1,0.190000000000000,Old West Church Yard,8687,0.190000031168020,0.253561396866307,0.151304334404644
70,16,42.361229999999999,-71.063749999999999,1,0.240000000000000,Brooke Courthouse Plaza,8443,0.240000371584647,0.330105213741841,0.196979312568808
71,16,42.361229999999999,-71.063749999999999,1,0.350000000000000,Cardinal Cushing Park I,7877,0.350000219302338,0.473341297207844,0.282450683760924
72,16,42.361229999999999,-71.063749999999999,1,0.500000000000000,Bowdoin Mall,8496,0.500001440689021,0.677219826830817,0.404108418752288
73,16,42.361229999999999,-71.063749999999999,1,0.820000000000000,Ashburton Place Plaza,8501,0.820001459774783,1.105628141094098,0.659746838654186
74,16,42.361229999999999,-71.063749999999999,1,0.930300390000000,Somerset Street Plaza,7867,0.930300580311843,0.915885634421453,0.546524305432735
75,16,42.361229999999999,-71.063749999999999,1,0.940000000000000,Government Center Garage Plaza,8494,0.227005474945618,0.305581902246902,0.182345841665917
76,16,42.361229999999999,-71.063749999999999,1,1.062164940000000,Pemberton Square II,7880,1.062165174553701,1.433643701950591,0.855479220330272
77,16,42.361229999999999,-71.063749999999999,1,1.238705430000000,State House Park,7863,1.238704985775475,1.671912230663775,0.997658044047395
78,16,42.361229999999999,-71.063749999999999,1,1.860000000000000,Granary Burying Ground,7859,0.000201132239868,0.000270982981463,0.000161700085865
79,16,42.361229999999999,-71.063749999999999,1,1.910000000000000,New Chardon Square,8275,1.909999692211036,2.583629756620670,1.541695169314891
80,16,42.361229999999999,-71.063749999999999,1,3.420000000000000,West End Recreation Complex,8400,1.360541685487192,1.836836593885971,1.096071175197643
81,16,42.361229999999999,-71.063749999999999,1,3.860000000000000,Thoreau Path,8401,1.727008033831259,2.329176137858100,1.389858431153904
82,16,42.361229999999999,-71.063749999999999,1,5.931465180000000,City Hall Plaza,7876,2.346063081205098,3.210397665596147,1.915698083266837
83,17,42.297300000000000,-71.056539999999998,0,0.680000000000000,Adams/King Playground,8559,0.100437084812424,0.134913965953475,0.080586083204207
84,17,42.297300000000000,-71.056539999999998,0,5.231867360000000,McMorrow Playground,8070,0.819052558741709,1.104398349474459,0.659673271424165
85,17,42.297300000000000,-71.056539999999998,0,5.726272820000000,Doherty/Gibson Playground,8068,0.864155036423757,1.165253169402119,0.696022744567357
86,18,42.345129999999997,-71.040379999999999,1,0.010000000000000,Marine Industrial Park Entrance II,8269,0.009999963456424,0.020211866830026,0.012063804296836
87,18,42.345129999999997,-71.040379999999999,1,0.200000000000000,Williams Tunnel Portal Park,8539,0.200000195752824,0.268259608890303,0.160115413861270
88,18,42.345129999999997,-71.040379999999999,1,0.880000000000000,South Boston Maritime Park,8333,0.556885044864052,0.748595140785659,0.446812031364908
89,18,42.345129999999997,-71.040379999999999,1,1.150000000000000,Eastport Park,8332,0.563764835870472,0.760975851742355,0.454201674058150
