FID,Row_Labels,Average_of,Average__1,comm,ind
82,129,33.738070000000000,-84.394580000000005,0,0
83,130,33.793599999999998,-84.500259999999997,0,0
84,132,33.779519999999998,-84.382630000000006,0,0
85,133,33.787579999999998,-84.406459999999996,1,1
86,134,33.772820000000003,-84.341719999999995,0,0
87,136,33.736870000000003,-84.390860000000004,0,0
88,137,33.771349999999998,-84.396109999999993,1,1
89,139,33.774239999999999,-84.402339999999995,0,1
90,142,33.753920000000001,-84.496049999999997,0,0
91,143,33.748100000000001,-84.349209999999999,0,0
92,144,33.751880000000000,-84.467470000000006,1,0
93,145,33.773499999999999,-84.367649999999998,0,1
94,146,33.744459999999997,-84.398160000000004,1,1
95,147,33.772550000000003,-84.377700000000004,0,0
96,149,33.699359999999999,-84.429360000000003,0,1
97,150,33.756940000000000,-84.349209999999999,1,0
98,151,33.754379999999998,-84.378050000000002,1,0
99,152,33.824159999999999,-84.407579999999996,0,0
100,153,33.789920000000002,-84.496179999999995,0,1
101,154,33.776319999999998,-84.473740000000006,0,0
102,155,33.744570000000003,-84.394480000000001,1,0
103,159,33.776840000000000,-84.388790000000000,0,0
104,160,33.786639999999998,-84.387810000000002,0,0
105,161,33.739500000000000,-84.295469999999995,0,0
106,162,33.752389999999998,-84.395669999999996,1,0
107,163,33.763620000000003,-84.470029999999994,0,0
108,164,33.753520000000002,-84.363860000000003,0,1
109,165,33.764870000000002,-84.341750000000005,0,0
110,166,33.764029999999998,-84.390370000000004,1,0
111,167,33.765459999999997,-84.349149999999995,0,0
112,168,33.772419999999997,-84.383309999999994,0,0
113,170,33.764650000000003,-84.388990000000007,1,0
114,171,33.722140000000003,-84.464209999999994,0,0
115,172,33.757599999999996,-84.367930000000001,0,0
116,173,33.761339999999997,-84.396029999999996,1,0
117,174,33.762470000000000,-84.319599999999994,0,1
118,175,33.803690000000003,-84.407809999999998,0,0
119,180,33.772500000000001,-84.381780000000006,0,0
120,181,33.732109999999999,-84.413730000000001,0,0
121,182,33.726439999999997,-84.418130000000005,0,1
122,183,33.649970000000003,-84.392179999999996,0,1
123,184,33.786650000000002,-84.389240000000001,0,0
124,185,33.701259999999998,-84.479110000000006,0,0
125,186,33.755429999999997,-84.391080000000002,1,0
126,187,33.823369999999997,-84.351870000000005,0,1
127,188,33.756990000000002,-84.392669999999995,1,0
128,190,33.768270000000001,-84.358549999999994,0,0
129,191,33.787260000000003,-84.493740000000003,0,1
130,192,33.772239999999996,-84.384910000000005,0,0
131,194,33.651380000000003,-84.394369999999995,0,1
132,195,33.742170000000002,-84.408159999999995,0,1
133,196,33.739950000000000,-84.332130000000006,0,0
134,197,33.748719999999999,-84.508279999999999,0,0
135,198,33.752420000000001,-84.349220000000003,0,0
136,199,33.750700000000002,-84.373570000000001,0,1
137,201,33.767370000000000,-84.387889999999999,1,0
138,202,33.778250000000000,-84.397790000000001,0,0
139,203,33.652270000000001,-84.394890000000004,0,1
140,204,33.760990000000000,-84.387559999999993,1,0
141,205,33.761800000000001,-84.341819999999998,0,1
142,206,33.751750000000001,-84.396180000000001,1,0
143,209,33.754539999999999,-84.398610000000005,1,0
144,210,33.788220000000003,-84.367239999999995,0,0
145,211,33.653089999999999,-84.367530000000002,0,1
146,212,33.754280000000001,-84.368030000000005,1,0
147,214,33.831099999999999,-84.426980000000000,0,0
148,215,33.785690000000002,-84.367450000000005,0,0
149,216,33.759700000000002,-84.387609999999995,1,0
150,217,33.749229999999997,-84.392750000000007,1,0
151,218,33.753480000000003,-84.385310000000004,1,0
152,219,33.771290000000000,-84.392049999999998,1,0
153,220,33.755920000000003,-84.391589999999994,1,0
154,221,33.747190000000003,-84.302660000000003,0,0
155,222,33.787579999999998,-84.355369999999994,0,0
156,223,33.742620000000002,-84.409840000000003,0,1
157,224,33.762210000000003,-84.384159999999994,1,0
158,225,33.781579999999998,-84.411150000000006,0,1
159,226,33.784300000000002,-84.382239999999996,0,0
160,227,33.651550000000000,-84.394620000000003,0,1
161,228,33.776930000000000,-84.393640000000005,0,0
162,229,33.791780000000003,-84.390709999999999,1,0
163,230,33.760170000000002,-84.372060000000005,1,0
164,231,33.786439999999999,-84.492310000000003,0,0
165,232,33.773370000000000,-84.365700000000004,0,1
166,233,33.746949999999998,-84.394419999999997,1,0
167,234,33.769629999999999,-84.388880000000000,1,0
168,235,33.790669999999999,-84.385170000000002,0,0
169,238,33.791939999999997,-84.390460000000004,1,0
170,239,33.812420000000003,-84.472669999999994,0,0
171,242,33.747050000000002,-84.292040000000000,0,0
172,243,33.791809999999998,-84.389380000000003,0,0
173,244,33.779649999999997,-84.410240000000002,0,1
174,245,33.781179999999999,-84.368859999999998,0,1
175,246,33.775419999999997,-84.352500000000006,0,0
176,248,33.773809999999997,-84.359960000000001,0,0
177,249,33.750599999999999,-84.397090000000006,1,0
178,251,33.747419999999998,-84.328569999999999,0,0
179,253,33.792090000000002,-84.389189999999999,0,0
180,254,33.760990000000000,-84.389049999999997,1,0
181,255,33.747430000000001,-84.333250000000007,0,0
182,257,33.746929999999999,-84.390919999999994,1,0
183,259,33.748019999999997,-84.387709999999998,1,0
184,261,33.747619999999998,-84.349209999999999,0,0
185,262,33.738230000000001,-84.412840000000003,0,0
186,264,33.751489999999997,-84.371070000000003,1,1
187,266,33.759720000000002,-84.390569999999997,1,0
188,267,33.741940000000000,-84.394509999999997,0,0
189,269,33.690150000000003,-84.506249999999994,0,0
190,270,33.797089999999997,-84.368989999999997,0,0
191,271,33.773119999999999,-84.515039999999999,0,1
192,272,33.776809999999998,-84.387299999999996,0,0
193,274,33.791890000000002,-84.389080000000007,0,0
194,275,33.761360000000003,-84.372029999999995,1,0
195,278,33.771290000000000,-84.390720000000002,1,0
196,280,33.780540000000002,-84.369069999999994,0,1
197,281,33.753740000000001,-84.495990000000006,0,0
198,282,33.773150000000001,-84.372820000000004,0,0
199,283,33.781779999999998,-84.380470000000003,0,0
200,284,33.740620000000000,-84.414069999999995,1,0
201,285,33.779490000000003,-84.369410000000002,0,0
202,286,33.751420000000003,-84.390960000000007,1,0
203,287,33.731909999999999,-84.413309999999996,0,0
204,288,33.771279999999997,-84.383439999999993,1,0
205,291,33.801839999999999,-84.372299999999996,0,0
206,292,33.762189999999997,-84.382120000000000,1,0
207,294,33.757660000000001,-84.372110000000006,0,0
208,295,33.749850000000002,-84.393889999999999,1,0
209,296,33.781720000000000,-84.384010000000004,0,0
210,298,33.782380000000003,-84.354330000000004,0,0
211,299,33.785800000000002,-84.411659999999998,0,1
212,300,33.801360000000003,-84.407809999999998,0,0
213,301,33.746879999999997,-84.381519999999995,0,0
214,302,33.774709999999999,-84.345060000000004,0,0
215,304,33.767809999999997,-84.391890000000004,1,0
216,305,33.755879999999998,-84.469880000000003,1,0
217,307,33.772430000000000,-84.388840000000002,0,0
218,308,33.736840000000001,-84.394599999999997,0,0
219,309,33.765320000000003,-84.391900000000007,1,0
220,311,33.767400000000002,-84.385379999999998,1,0
221,312,33.772320000000001,-84.387349999999998,0,0
222,313,33.764629999999997,-84.391930000000002,1,0
223,314,33.650129999999997,-84.392110000000002,0,1
224,315,33.753160000000001,-84.391279999999995,1,0
225,316,33.787070000000000,-84.407529999999994,1,1
226,317,33.756450000000001,-84.392129999999995,1,0
227,318,33.738830000000000,-84.433539999999994,0,1
228,319,33.740749999999998,-84.394540000000006,0,0
229,320,33.786330000000000,-84.427859999999995,0,1
230,322,33.738230000000001,-84.414079999999998,0,0
231,324,33.773200000000003,-84.408890000000000,0,1
232,326,33.696030000000000,-84.535190000000000,0,0
233,327,33.751800000000003,-84.383039999999994,1,0
234,328,33.720230000000001,-84.480490000000003,0,0
235,329,33.786499999999997,-84.382159999999999,0,0
236,330,33.776330000000002,-84.387309999999999,0,0
237,331,33.800469999999997,-84.415959999999998,0,0
238,332,33.771290000000000,-84.385019999999997,1,0
239,333,33.763959999999997,-84.371960000000001,0,0
240,335,33.799610000000001,-84.416020000000003,0,1
241,336,33.739699999999999,-84.322090000000003,0,0
242,337,33.791220000000003,-84.395099999999999,1,0
243,338,33.754359999999998,-84.374390000000005,0,0
244,339,33.689610000000002,-84.489069999999998,0,0
245,341,33.801240000000000,-84.367509999999996,0,0
246,342,33.789619999999999,-84.402749999999997,1,0
247,343,33.761319999999998,-84.367840000000001,0,0
248,344,33.656640000000003,-84.520730000000000,0,1
249,345,33.718200000000003,-84.425200000000004,0,1
250,346,33.820639999999997,-84.367549999999994,0,0
251,347,33.764800000000001,-84.387519999999995,1,0
252,348,33.771079999999998,-84.348979999999997,0,0
253,349,33.754610000000000,-84.402810000000002,1,0
