OBJECTID,Row_Labels,Average_of,Average__1,SITE_NAME,ACRES,OBJECTID_1,ACRES_1,AREA,PERCENTAGE
1937,1017,42.343950000000000,-71.065969999999993,Watson Park I,0.080000000000000,8595,0.005124997156516,0.007154941618334,0.017088109572117
1938,1018,42.313569999999999,-71.105220000000003,Brookside Community Garden,0.120000000000000,8552,0.119999860191395,0.167093313119009,0.399258054690638
1939,1018,42.313569999999999,-71.105220000000003,Flaherty Playground,1.310781980000000,8028,0.150324225038519,0.202746504221418,0.484448918749470
1940,1018,42.313569999999999,-71.105220000000003,Lawndale Terrace Garden,0.090000000000000,8273,0.090000046441812,0.120505677514258,0.287940082612718
1941,1018,42.313569999999999,-71.105220000000003,Oakdale Street Community Garden,0.155973140000000,8341,0.155973274442881,0.215620288372317,0.515209946349266
1942,1018,42.313569999999999,-71.105220000000003,Southwest Corridor Park,47.680000000000000,8789,5.224370769244694,7.164563866724352,17.119235825420827
1943,1021,42.341329999999999,-71.076549999999997,Concord Square,0.149550970000000,8118,0.091228967378032,0.123100265938064,0.294011781893358
1944,1021,42.341329999999999,-71.076549999999997,Hiscock Park,0.105729690000000,8135,0.041864936813737,0.056502222941639,0.134949499267252
1945,1021,42.341329999999999,-71.076549999999997,O'Day Playground,0.717655170000000,8178,0.717654893628209,0.968361432217755,2.312827417825357
1946,1021,42.341329999999999,-71.076549999999997,Rutland Green,0.091574660000000,8223,0.091574696115785,0.118739078216681,0.283595552786427
1947,1021,42.341329999999999,-71.076549999999997,Rutland Square,0.155807240000000,8134,0.144096049403207,0.194438067663085,0.464394469872939
1948,1021,42.341329999999999,-71.076549999999997,South End Library Park,0.190000000000000,8689,0.189999927113248,0.255319984535681,0.609804398343780
1949,1022,42.347490000000001,-71.068619999999996,Bay Village Garden,0.020000000000000,8387,0.020000103091833,0.024497256114754,0.058503421285668
1950,1022,42.347490000000001,-71.068619999999996,Castle Square Parks,1.190000000000000,8631,0.431585875564851,0.582117078386481,1.390190008011359
1951,1022,42.347490000000001,-71.068619999999996,Chandler/Tremont Plaza,0.230000000000000,8276,0.229999915720913,0.315660835686595,0.753849278753976
1952,1023,42.353580000000001,-71.137400000000000,Penniman Road Play Area,0.760016700000000,8177,0.477373827312349,0.781861072231657,1.867032850743633
1953,1023,42.353580000000001,-71.137400000000000,Ringer Playground,10.255854940000001,7824,0.001665813345135,0.002249495680384,0.005371647831110
1954,1023,42.353580000000001,-71.137400000000000,Union Square Plaza,0.078612180000000,8340,0.078612156193105,0.526204490478154,1.256541737175069
1955,1025,42.359470000000002,-71.070760000000007,Charles River Reservation,171.689999999999998,8770,2.725344928259072,3.678548713138399,8.783321522133477
1956,1025,42.359470000000002,-71.070760000000007,Louisburg Square,0.324095760000000,7862,0.149985997611343,0.202438063046474,0.483364156550240
1957,1025,42.359470000000002,-71.070760000000007,Mount Vernon Square,0.050000000000000,8629,0.049999883610802,0.061217424221759,0.146169688544864
1958,1028,42.278869999999998,-71.159430000000000,Roxbury Latin Schl Athletic Fields,38.500000000000000,8777,5.120086089382999,6.901575755376336,16.499797218281000
1959,1029,42.359250000000003,-71.059359999999998,Ashburton Place Plaza,0.820000000000000,8501,0.044091672773536,0.059449887101083,0.141949804945520
1960,1029,42.359250000000003,-71.059359999999998,City Hall Plaza,5.931465180000000,7876,4.523428704371521,6.189946497749517,14.779871599835870
1961,1029,42.359250000000003,-71.059359999999998,King's Chapel Burying Ground,0.430548040000000,8809,0.430547755719742,0.582710297469642,1.391350212741691
1962,1029,42.359250000000003,-71.059359999999998,Old City Hall Grounds,0.226758710000000,8808,0.226758209609254,0.330769665746461,0.789786016830795
1963,1029,42.359250000000003,-71.059359999999998,Pemberton Square Access,0.130000000000000,8388,0.130001171959649,0.170581321153239,0.407300777945635
1964,1029,42.359250000000003,-71.059359999999998,Pemberton Square I,0.184852390000000,7879,0.184852602007455,0.249499868956860,0.595736332890592
1965,1029,42.359250000000003,-71.059359999999998,Pemberton Square II,1.062164940000000,7880,1.062165321580921,1.433643900398678,3.423143120135864
1966,1030,42.262509999999999,-71.155829999999995,Beethoven School Play Area,0.520000000000000,8446,0.519999892063233,0.707017895869815,1.690720521723011
1967,1030,42.262509999999999,-71.155829999999995,Dunbarton Woods,0.686566570000000,8567,0.132620728021960,0.191379350325981,0.457653189431761
1968,1031,42.352649999999997,-71.057130000000001,Atlantic Avenue Plantings,0.580000000000000,8378,0.069277117337336,0.093956412651790,0.224364993553699
1969,1031,42.352649999999997,-71.057130000000001,Chinatown Park,0.610000000000000,8367,0.285958097328344,0.532636559944489,1.271919552540868
1970,1031,42.352649999999997,-71.057130000000001,Dewey Square Parks,2.640000000000000,8372,0.257097874307807,0.347016076152274,0.828663605724113
