FID,Row_Labels,Average_of,Average__1,comm,ind
180,263,39.991570000000003,-75.136160000000004,0,0
181,264,39.956530000000001,-75.172579999999996,1,0
182,265,39.934809999999999,-75.161990000000003,0,0
183,266,39.942779999999999,-75.165689999999998,1,0
184,269,39.944440000000000,-75.171909999999997,0,0
185,270,40.040129999999998,-75.058549999999997,1,0
186,272,39.953809999999997,-75.187470000000005,0,1
187,273,39.925510000000003,-75.159199999999998,0,0
188,274,39.910339999999998,-75.150850000000005,0,1
189,276,39.970990000000000,-75.155720000000002,1,0
190,277,39.945410000000003,-75.179739999999995,0,0
191,278,39.943190000000001,-75.161799999999999,0,0
192,279,39.942439999999998,-75.147379999999998,0,0
193,280,39.975360000000002,-75.190029999999993,0,0
194,282,39.935130000000001,-75.153859999999995,1,0
195,283,39.970199999999998,-75.145030000000006,0,0
196,287,39.957439999999998,-75.229280000000003,0,0
197,291,39.922590000000000,-75.185209999999998,1,0
198,292,39.916829999999997,-75.173060000000007,0,0
199,293,39.956000000000003,-75.217640000000003,0,0
200,294,39.970450000000000,-75.148150000000001,0,0
201,295,39.930579999999999,-75.149879999999996,0,0
202,296,40.043270000000000,-75.052229999999994,1,0
203,297,39.996910000000000,-75.141180000000006,0,1
204,301,39.945540000000001,-75.180750000000003,0,0
205,304,39.973939999999999,-75.206450000000004,0,0
206,305,39.961449999999999,-75.191119999999998,0,0
207,306,39.949669999999998,-75.142150000000001,0,0
208,309,39.954189999999997,-75.169790000000006,1,0
209,310,39.950449999999996,-75.192589999999996,0,0
210,315,39.950719999999997,-75.162800000000004,1,0
211,316,39.960819999999998,-75.232900000000001,1,1
212,318,39.973059999999997,-75.119799999999998,1,1
213,321,39.975310000000000,-75.195179999999993,0,1
214,322,39.943919999999999,-75.151920000000004,0,0
215,323,39.899270000000001,-75.175539999999998,0,0
216,324,39.932409999999997,-75.193089999999998,1,0
217,325,39.972380000000001,-75.166520000000006,0,0
218,329,39.943330000000003,-75.147189999999995,0,0
219,331,39.946980000000003,-75.164779999999993,1,0
220,332,39.950350000000000,-75.147250000000000,1,0
221,333,39.948889999999999,-75.189670000000007,0,1
222,334,40.026370000000000,-75.027810000000002,0,1
223,335,39.998699999999999,-75.166889999999995,0,0
224,337,39.950240000000001,-75.199449999999999,0,0
225,339,39.957430000000002,-75.172389999999993,0,0
226,340,39.960529999999999,-75.193910000000002,0,0
227,341,39.995970000000000,-75.133889999999994,0,0
228,342,39.931719999999999,-75.168080000000003,0,0
229,343,39.938589999999998,-75.142219999999995,0,0
230,344,39.970799999999997,-75.123019999999997,0,1
231,346,39.942140000000002,-75.145319999999998,0,0
232,347,39.960490000000000,-75.228549999999998,1,0
233,348,39.938699999999997,-75.186880000000002,0,1
234,349,39.932589999999998,-75.181319999999999,0,0
235,350,39.939480000000003,-75.179839999999999,0,1
236,352,39.955350000000003,-75.199939999999998,1,0
237,353,39.933329999999998,-75.180650000000000,0,0
238,354,39.977980000000002,-75.152580000000000,1,0
