FID,Row_Labels,Average_of,Average__1,Comm,industry
83,128,42.348720000000000,-71.059430000000006,0,0
84,129,42.278250000000000,-71.160120000000006,1,0
85,130,42.338639999999998,-71.149270000000001,0,0
86,131,42.309150000000002,-71.073949999999996,0,1
87,132,42.332619999999999,-71.072159999999997,0,1
88,133,42.357160000000000,-71.065089999999998,0,0
89,135,42.350360000000002,-71.048460000000006,0,1
90,136,42.331420000000001,-71.094480000000004,1,1
91,138,42.287269999999999,-71.150049999999993,1,0
92,140,42.335970000000003,-71.150850000000005,1,0
93,141,42.332039999999999,-71.084040000000002,0,0
94,142,42.267620000000001,-71.150149999999996,0,0
95,143,42.353490000000001,-71.071489999999997,1,0
96,145,42.339050000000000,-71.057130000000001,1,1
97,148,42.284260000000003,-71.091459999999998,1,0
98,149,42.271349999999998,-71.073610000000002,1,0
99,150,42.350510000000000,-71.110939999999999,1,0
100,155,42.319569999999999,-71.081440000000001,1,0
101,156,42.282389999999999,-71.114919999999998,1,0
102,157,42.351770000000002,-71.045509999999993,1,1
103,159,42.303300000000000,-71.103759999999994,0,0
104,162,42.333770000000001,-71.082549999999998,0,0
105,164,42.347520000000003,-71.040710000000004,0,1
106,165,42.292050000000003,-71.047529999999995,1,0
107,166,42.364789999999999,-71.135459999999995,1,0
108,167,42.278149999999997,-71.121530000000007,0,0
109,168,42.359529999999999,-71.052430000000001,0,0
110,169,42.279949999999999,-71.118910000000000,1,0
111,170,42.339219999999997,-71.050380000000004,0,0
112,171,42.335470000000001,-71.045509999999993,0,0
113,173,42.275250000000000,-71.140649999999994,1,0
114,174,42.335479999999997,-71.044269999999997,0,0
115,175,42.315420000000003,-71.056680000000000,1,0
116,176,42.350340000000003,-71.084699999999998,1,0
117,177,42.328170000000000,-71.097059999999999,0,1
118,178,42.352100000000000,-71.124920000000003,1,0
119,179,42.355629999999998,-71.055689999999998,1,0
120,180,42.330309999999997,-71.084050000000005,0,0
121,182,42.332909999999998,-71.092370000000003,0,1
122,184,42.297120000000000,-71.132220000000004,0,0
123,186,42.283220000000000,-71.051940000000002,1,0
124,187,42.348779999999998,-71.134230000000002,1,0
125,190,42.340930000000000,-71.077299999999994,0,0
126,192,42.349170000000001,-71.092849999999999,0,0
127,193,42.292999999999999,-71.094660000000005,0,0
128,194,42.352629999999998,-71.055400000000006,1,0
129,196,42.348889999999997,-71.060299999999998,0,0
130,197,42.332819999999998,-71.051100000000005,1,0
131,198,42.307650000000002,-71.115499999999997,1,0
132,199,42.350850000000001,-71.089479999999995,1,0
133,202,42.295079999999999,-71.093019999999996,0,0
134,204,42.322809999999997,-71.100579999999994,1,0
135,205,42.350499999999997,-71.068659999999994,1,0
136,209,42.343829999999997,-71.071860000000001,0,0
137,210,42.306690000000003,-71.087410000000006,0,0
138,212,42.357160000000000,-71.051640000000006,1,0
139,213,42.298299999999998,-71.115840000000006,1,0
140,215,42.294499999999999,-71.088139999999996,1,0
141,216,42.348999999999997,-71.150530000000003,1,0
142,217,42.349280000000000,-71.088719999999995,1,0
143,219,42.350009999999997,-71.106570000000005,0,1
144,220,42.357019999999999,-71.069869999999995,1,0
145,221,42.337840000000000,-71.056960000000004,0,1
146,227,42.290109999999999,-71.048460000000006,0,0
147,228,42.310459999999999,-71.106999999999999,1,1
148,230,42.365470000000002,-71.064639999999997,0,0
149,231,42.358020000000003,-71.161879999999996,0,0
150,233,42.306649999999998,-71.115250000000003,1,0
151,234,42.287669999999999,-71.146510000000006,1,0
152,235,42.350090000000002,-71.077349999999996,1,0
153,236,42.322580000000002,-71.098460000000003,1,1
154,237,42.329479999999997,-71.085909999999998,0,0
155,238,42.275840000000002,-71.167079999999999,1,0
156,239,42.372410000000002,-71.064949999999996,1,0
157,240,42.320580000000000,-71.050089999999997,1,1
158,242,42.353290000000001,-71.134410000000003,1,0
159,243,42.326110000000000,-71.105230000000006,0,1
160,245,42.346550000000001,-71.087370000000007,1,0
161,246,42.272520000000000,-71.069429999999997,1,0
162,247,42.300809999999998,-71.127179999999996,0,0
163,250,42.261620000000001,-71.122169999999997,1,1
164,251,42.324359999999999,-71.052300000000002,0,0
165,253,42.336250000000000,-71.053880000000007,0,1
166,255,42.349080000000001,-71.049469999999999,0,1
167,257,42.280909999999999,-71.092550000000003,1,0
168,258,42.338110000000000,-71.153310000000005,1,0
