OBJECTID,Row_Labels,Average_of,Average__1,comm,ind,OBJECTID_1,ASSET_NAME,ACREAGE,ACREAGE_1,AREA,PERCENTAGE
22,6,39.981220000000000,-75.188699999999997,0,0,585,33rd & Oxford Driving Range Office Trailer,0.007032270000000,0.007032340693620,0.009157678853871,0.005663626450330
23,6,39.981220000000000,-75.188699999999997,0,0,1252,Discovery Center Building,0.346110310000000,0.152991341375816,0.199236113291159,0.123218878834100
24,6,39.981220000000000,-75.188699999999997,0,0,1254,Discovery Center at East Fairmount Reservoir,50.389696409999999,3.398499880136194,4.425917405571760,2.737237599741313
25,6,39.981220000000000,-75.188699999999997,0,0,1255,Discovery Center Grounds,0.960263520000000,0.437361637631993,0.569559583601765,0.352247853872085
26,7,39.970469999999999,-75.148970000000006,0,0,218,East Poplar Playground,4.841094440000000,1.519331843136797,1.978107793381254,1.223563178935566
27,7,39.970469999999999,-75.148970000000006,0,0,219,Narcissa S. Cruz Recreation Center,4.809898730000000,0.295439723650846,0.384687456451127,0.237949321410544
28,7,39.970469999999999,-75.148970000000006,0,0,280,East Poplar Field,3.081339940000000,3.081338960779890,4.011883329514522,2.481559769697185
29,7,39.970469999999999,-75.148970000000006,0,0,567,Narcissa S. Cruz Recreation Center Building,0.263751300000000,0.033526829948215,0.043654562310331,0.027002631107462
30,7,39.970469999999999,-75.148970000000006,0,0,1320,East Poplar Playground Garden,0.631465670000000,0.631464805708849,0.822151795256170,0.508543906220452
31,11,39.968769999999999,-75.134439999999998,0,0,350,Tip Top Playground,0.786319050000000,0.786319389214792,1.023753779988150,0.633260790716278
32,15,39.987870000000001,-75.155869999999993,0,0,214,Stephen E. Fotteral Square,5.067868180000000,0.256213074964463,0.333689953171753,0.206352973856198
33,15,39.987870000000001,-75.155869999999993,0,0,317,Penrose Playground,1.957393130000000,0.713943391670710,0.929786614126404,0.574977553423415
34,15,39.987870000000001,-75.155869999999993,0,0,360,Duckrey School Playground,1.017285950000000,1.017285163885437,1.324841803636535,0.819278625175431
35,15,39.987870000000001,-75.155869999999993,0,0,364,Winchester Playground,0.612977790000000,0.612977183934111,0.798328655728934,0.493684303822879
36,15,39.987870000000001,-75.155869999999993,0,0,880,Penrose Playground Building,0.112284510000000,0.101912893801675,0.132723751253868,0.082076012514794
37,15,39.987870000000001,-75.155869999999993,0,0,1042,Penrose Playground Pool Building,0.005488890000000,0.005488943029622,0.007148402245140,0.004420552814324
38,15,39.987870000000001,-75.155869999999993,0,0,1055,Winchester Playground Building,0.085054380000000,0.085054330118720,0.110772977297390,0.068501712655569
39,17,39.955900000000000,-75.167879999999997,1,0,133,Benjamin Franklin Parkway Medians,13.931207640000000,0.321290949179658,0.418282608798751,0.258783949072825
40,17,39.955900000000000,-75.167879999999997,1,0,307,John F. Kennedy Plaza,2.439869380000000,2.439869214516216,3.176019915458205,1.964946566668416
41,17,39.955900000000000,-75.167879999999997,1,0,518,Welcome Center,0.093270240000000,0.093270234180009,0.121411256008560,0.075114966845069
42,17,39.955900000000000,-75.167879999999997,1,0,524,Logan Square Maintenance Building,0.003092430000000,0.003092412104598,0.004025648116534,0.002490596298436
43,17,39.955900000000000,-75.167879999999997,1,0,1001,Levy Park,0.572631830000000,0.572631665768803,0.745414598764397,0.461174644862170
44,17,39.955900000000000,-75.167879999999997,1,0,1008,Aviator Park,1.903299470000000,0.747847903235232,0.973539760581042,0.602311591548357
45,17,39.955900000000000,-75.167879999999997,1,0,1010,Sister Cities Park,1.729054770000000,1.729054460995686,2.250860401117574,1.392566965874265
46,17,39.955900000000000,-75.167879999999997,1,0,1011,Cret Park,1.121917470000000,1.121917847626748,1.460447989968255,0.903552981427669
47,17,39.955900000000000,-75.167879999999997,1,0,1012,East Triangle,0.184851950000000,0.184852011963366,0.240636270416234,0.148877345217168
48,17,39.955900000000000,-75.167879999999997,1,0,1013,West Triangle,0.152973430000000,0.052923217195088,0.068895364623384,0.042624326603618
49,17,39.955900000000000,-75.167879999999997,1,0,1014,Torun Triangle,0.624215370000000,0.624215215908898,0.812580893750618,0.502729227088388
50,17,39.955900000000000,-75.167879999999997,1,0,1024,Logan Square,9.209228050000000,6.915851742044489,9.002996842898430,5.569992697488379
51,17,39.955900000000000,-75.167879999999997,1,0,1026,Basilica Green,0.276190390000000,0.276190134297229,0.359537040454441,0.222439119412498
52,17,39.955900000000000,-75.167879999999997,1,0,1033,Benjamin Franklin Parkway,64.509472470000006,12.271823089446038,15.976067936855262,9.884106736420186
53,17,39.955900000000000,-75.167879999999997,1,0,1151,Galusha Pennypacker Park,1.154618500000000,1.141961755120581,1.486608374016817,0.919737941908791
54,17,39.955900000000000,-75.167879999999997,1,0,1152,Shakespeare Park,1.183946240000000,0.158738823804941,0.206647290244193,0.127848972703333
55,17,39.955900000000000,-75.167879999999997,1,0,1166,Cafe Cret,0.038481390000000,0.038481491533331,0.050092904464685,0.030991581684755
56,17,39.955900000000000,-75.167879999999997,1,0,1339,Sister Cities Park Building,0.066865360000000,0.066865305483041,0.087044447391460,0.053852838647809
57,17,39.955900000000000,-75.167879999999997,1,0,1372,Vine Street Park,11.868121490000000,1.445444340322164,1.881646366197175,1.164140863521577
58,19,39.998220000000003,-75.187610000000006,0,0,24,East Fairmount Park,659.240958959999944,21.464050801466936,27.952387340988309,17.283103555110852
59,19,39.998220000000003,-75.187610000000006,0,0,73,Dell Music Center,8.541337800000001,8.499552720578702,11.070839609537998,6.845156554234522
60,19,39.998220000000003,-75.187610000000006,0,0,397,Strawberry Mansion Playground,0.384692830000000,0.384693392761059,0.501061981374854,0.309809176797292
61,19,39.998220000000003,-75.187610000000006,0,0,675,Dell Music Center Building 2,0.049459800000000,0.049459902572036,0.064422336667161,0.039832659096280
62,19,39.998220000000003,-75.187610000000006,0,0,676,Dell Music Center Entrance Gate & Box Office,0.133833390000000,0.133832970506157,0.174320012277371,0.107782952030726
63,19,39.998220000000003,-75.187610000000006,0,0,677,Dell Music Center Building 1,0.237623920000000,0.237623912638747,0.309512542214621,0.191373182313371
64,19,39.998220000000003,-75.187610000000006,0,0,957,Strawberry Mansion Music Pavilion,0.063841370000000,0.063841270239054,0.083153251313931,0.051414079086384
65,19,39.998220000000003,-75.187610000000006,0,0,1073,Georgie Woods Pavilion,0.030998790000000,0.030998725478822,0.040376499950297,0.024964995702197
66,19,39.998220000000003,-75.187610000000006,0,0,1322,Dell Music Center Pavilion 2,0.006135010000000,0.006135032330627,0.007990989028287,0.004940869243076
67,20,39.980220000000003,-75.157529999999994,0,0,259,Fletcher B. Amos Playground,1.016728980000000,1.016728259897053,1.324025396129815,0.818863987107011
68,20,39.980220000000003,-75.157529999999994,0,0,593,Fletcher B. Amos Playground Building,0.164058590000000,0.164058597286692,0.213643796816684,0.132131310919989
69,21,39.959009999999999,-75.173940000000002,0,0,133,Benjamin Franklin Parkway Medians,13.931207640000000,5.496650632247559,7.155985476659605,4.427081756315024
70,21,39.959009999999999,-75.173940000000002,0,0,180,Von Colln Field,6.528407340000000,0.985672391800733,1.283232106844681,0.793877163090840
71,21,39.959009999999999,-75.173940000000002,0,0,203,Barnes Foundation Museum,5.387681140000000,5.387682030220880,7.013884829477357,4.339170568575339
72,21,39.959009999999999,-75.173940000000002,0,0,240,Rodin Museum,4.190618850000000,4.156040291312316,5.410583536253553,3.347281201519120
73,21,39.959009999999999,-75.173940000000002,0,0,422,Coxe Park,0.109275670000000,0.109275417207243,0.142250885578249,0.088004133381373
74,21,39.959009999999999,-75.173940000000002,0,0,436,Rodin Museum Building,0.142317950000000,0.142317903034477,0.185278649598268,0.114623448041717
75,21,39.959009999999999,-75.173940000000002,0,0,524,Logan Square Maintenance Building,0.003092430000000,0.003092412104598,0.004025648116534,0.002490484838486
76,21,39.959009999999999,-75.173940000000002,0,0,980,Park Towne,3.687199170000000,1.759550334427874,2.290692708519761,1.417147076707808
77,21,39.959009999999999,-75.173940000000002,0,0,1008,Aviator Park,1.903299470000000,1.903299812243618,2.477693706848253,1.532836063334875
78,21,39.959009999999999,-75.173940000000002,0,0,1009,Winter Street,1.607994450000000,1.607993221517396,2.093299723235493,1.295029041836604
