OBJECTID,Row_Labels,Average_of,Average__1,comm,industry,acres,park,acres_1,AREA,PERCENTAGE
16,19,41.917760000000001,-87.677620000000005,0,0,1.240000000000000,CHURCHILL FIELD,1.171102122857176,1.717069471454436,1.031698338123951
17,19,41.917760000000001,-87.677620000000005,0,0,16.760000000000002,PARK NO. 572,0.427098500978098,0.492494793788145,0.295914678312659
18,21,41.903350000000003,-87.667569999999998,0,0,4.180000000000000,PULASKI (CASIMER),0.134349826251932,0.178701385098506,0.107396310058669
19,23,41.862530000000000,-87.725070000000002,0,0,0.160000000000000,CRAWFORD (PETER),0.160000147474604,0.222793425521016,0.133979121520822
20,23,41.862530000000000,-87.725070000000002,0,0,0.250000000000000,NINEBARK,0.249999736796005,0.494137977292449,0.297154962956810
21,23,41.862530000000000,-87.725070000000002,0,0,0.350000000000000,HORNBEAM,0.276246720376135,0.371218181804452,0.223235877694362
22,24,41.778219999999997,-87.753219999999999,0,0,4.820000000000000,LAWLER (MICHAEL),4.819998883569978,6.437581224044577,3.876329970453950
23,25,41.895750000000000,-87.686840000000004,0,0,0.280000000000000,WESTERN,0.280000364653368,0.371581373349196,0.223339882137153
24,25,41.895750000000000,-87.686840000000004,0,0,10.529999999999999,SMITH (JOSEPH HIGGINS),2.659350264573185,3.450271371862093,2.073793943402844
25,26,41.857959999999999,-87.656430000000000,0,0,0.720000000000000,THROOP (AMOS GAGER),0.720000118664988,0.955078738829538,0.574386868104829
26,26,41.857959999999999,-87.656430000000000,0,0,6.340000000000000,DVORAK (ANTON),0.948249665241200,1.312445848261467,0.789308388608823
27,27,41.878000000000000,-87.642529999999994,1,0,1.110000000000000,HERITAGE GREEN,1.109997729273787,1.425657790995791,0.857129648166729
28,30,41.880150000000000,-87.667590000000004,0,0,14.240000000000000,UNION,3.321451930930434,4.303096806028394,2.587009022065566
29,32,41.734980000000000,-87.714140000000000,0,0,0.340000000000000,LEE (JOHN),0.339999537213563,0.437995336374663,0.263909932548008
30,38,41.874450000000003,-87.720410000000001,0,0,1.330000000000000,PARK NO. 500,0.423420109788442,0.559997677939172,0.336698513078936
31,38,41.874450000000003,-87.720410000000001,0,0,175.900000000000006,GARFIELD (JAMES),23.119861433940201,30.384282920026145,18.268545180027974
32,42,41.875590000000003,-87.633070000000004,1,0,0.400000000000000,PARK NO. 543,0.271921807962580,0.342973489788502,0.206209142525274
33,42,41.875590000000003,-87.633070000000004,1,0,1.100000000000000,PRITZKER,0.001810370410722,0.002520633662905,0.001515504030847
34,45,41.911009999999997,-87.643450000000001,0,0,3.890000000000000,PARK NO. 598,3.890000493079147,5.244688861739712,3.151590839073621
35,46,41.903779999999998,-87.638350000000003,0,1,8.730000000000000,SEWARD (WILLIAM),8.729998318012434,11.769053995434962,7.072942220815515
36,47,41.830770000000001,-87.644880000000001,0,0,0.490000000000000,MCKEON (JOSEPH),0.490000013802660,0.650728757993709,0.391513853657410
37,47,41.830770000000001,-87.644880000000001,0,0,3.240000000000000,DONOVAN (GEORGE),0.874159896792841,1.076090851916368,0.647434850763635
38,51,41.728230000000003,-87.552589999999995,1,1,20.270000000000000,BESSEMER (HENRY),1.036016256795703,1.384268607338138,0.834164243732099
39,52,41.787260000000003,-87.630300000000005,1,0,6.400000000000000,SHERWOOD (JESSE),0.577054055041548,0.772130412552584,0.464866628781778
40,54,41.838120000000004,-87.689459999999997,0,1,2.670000000000000,DALEY (RICHARD J.),2.669999066940120,3.845719447453798,2.313532586013213
